"id","ts","min","max","avg","sum","cnt"
1,"2018-06-15 10:40:00",1035,29846,6054,78706,13
55,"2018-06-15 15:10:00",616,1659493,29035,2351892,81
12,"2018-06-15 11:35:00",754,118965,9031,623156,69
30,"2018-06-15 13:05:00",225,209342,8319,782065,94
7,"2018-06-15 11:10:00",225,6459109,58104,7379261,127
18,"2018-06-15 12:05:00",431,26359,5475,481813,88
2,"2018-06-15 10:45:00",513,1579859,72027,5618147,78
36,"2018-06-15 13:35:00",585,52515,8494,467217,55
24,"2018-06-15 12:35:00",558,532553,11130,1391373,125
13,"2018-06-15 11:40:00",627,487262,11360,1828975,161
42,"2018-06-15 14:05:00",538,52492,7068,572564,81
8,"2018-06-15 11:15:00",610,158362,12724,1081593,85
3,"2018-06-15 10:50:00",400,55690,10485,922751,88
62,"2018-06-15 15:45:00",512,16880,5449,397823,73
47,"2018-06-15 14:30:00",539,77591,5641,485187,86
19,"2018-06-15 12:10:00",506,119509,6511,566478,87
14,"2018-06-15 11:45:00",225,487191,12897,1315587,102
4,"2018-06-15 10:55:00",347,3616993,50132,4612223,92
9,"2018-06-15 11:20:00",617,365369,11722,832262,71
31,"2018-06-15 13:10:00",386,54095,5804,679078,117
65,"2018-06-15 16:00:00",225,51657,7220,483769,67
37,"2018-06-15 13:40:00",521,52492,6150,375206,61
5,"2018-06-15 11:00:00",747,4715041,56787,5508418,97
59,"2018-06-15 15:30:00",225,31565,6222,535098,86
20,"2018-06-15 12:15:00",514,15027942,378229,30636558,81
15,"2018-06-15 11:50:00",925,55087,6854,596327,87
10,"2018-06-15 11:25:00",843,119672,9879,780511,79
6,"2018-06-15 11:05:00",714,17915,4432,527495,119
25,"2018-06-15 12:40:00",843,2642277,33135,3114721,94
89,"2018-06-15 18:00:00",714,514822,12438,1044866,84
43,"2018-06-15 14:10:00",619,53956,6614,3294212,498
32,"2018-06-15 13:15:00",714,31565,5594,872755,156
11,"2018-06-15 11:30:00",225,54860,8960,833341,93
16,"2018-06-15 11:55:00",1070,52550,6483,414940,64
26,"2018-06-15 12:45:00",861,68706,6816,749843,110
21,"2018-06-15 12:20:00",579,15027942,296640,21951401,74
52,"2018-06-15 14:55:00",567,224865,11269,1126909,100
38,"2018-06-15 13:45:00",815,98740,7836,579875,74
27,"2018-06-15 12:50:00",704,15027942,207349,15551207,75
17,"2018-06-15 12:00:00",1439,191397,8887,559912,63
86,"2018-06-15 17:45:00",1806,52492,8719,575486,66
22,"2018-06-15 12:25:00",590,15027901,266513,22387120,84
78,"2018-06-15 17:05:00",527,52607,4254,404155,95
48,"2018-06-15 14:35:00",901,162363,11277,755566,67
56,"2018-06-15 15:15:00",405,185451,10149,730745,72
33,"2018-06-15 13:20:00",629,487199,6623,11881978,1794
28,"2018-06-15 12:55:00",1017,386382,13107,1245211,95
23,"2018-06-15 12:30:00",317,15027901,267705,30786102,115
68,"2018-06-15 16:15:00",225,487151,14138,1102834,78
44,"2018-06-15 14:15:00",610,98729,8945,483044,54
39,"2018-06-15 13:50:00",638,161851,10112,475269,47
34,"2018-06-15 13:25:00",225,921799,7489,6029377,805
29,"2018-06-15 13:00:00",605,71052,7413,748724,101
60,"2018-06-15 15:35:00",696,127476,6484,784640,121
53,"2018-06-15 15:00:00",815,207561,13108,1153536,88
49,"2018-06-15 14:40:00",225,128166,7386,598302,81
40,"2018-06-15 13:55:00",225,31565,5273,332209,63
45,"2018-06-15 14:20:00",567,111225,7878,1087253,138
35,"2018-06-15 13:30:00",906,52492,5508,495748,90
63,"2018-06-15 15:50:00",597,93892,8086,533739,66
57,"2018-06-15 15:20:00",1063,1721097,34334,2060083,60
41,"2018-06-15 14:00:00",741,499923,17727,833215,47
73,"2018-06-15 16:40:00",1025,73318,6733,478080,71
71,"2018-06-15 16:30:00",642,63635,8050,466901,58
66,"2018-06-15 16:05:00",225,120092,10196,856499,84
50,"2018-06-15 14:45:00",763,6459171,129851,11946332,92
46,"2018-06-15 14:25:00",804,31565,5253,514851,98
54,"2018-06-15 15:05:00",794,150511,9163,714770,78
61,"2018-06-15 15:40:00",726,52237,7185,596430,83
58,"2018-06-15 15:25:00",704,31565,6295,553976,88
51,"2018-06-15 14:50:00",607,15027942,131411,16426394,125
82,"2018-06-15 17:25:00",605,57058,6698,689966,103
64,"2018-06-15 15:55:00",845,207090,12493,849574,68
69,"2018-06-15 16:20:00",629,35792,6385,332039,52
75,"2018-06-15 16:50:00",544,2632414,26719,3393435,127
81,"2018-06-15 17:20:00",520,58870,7546,701792,93
67,"2018-06-15 16:10:00",901,161911,8376,577950,69
77,"2018-06-15 17:00:00",650,52492,6737,552471,82
72,"2018-06-15 16:35:00",714,52492,6192,693576,112
80,"2018-06-15 17:15:00",225,21435,5393,420677,78
70,"2018-06-15 16:25:00",714,298970,13907,1529791,110
74,"2018-06-15 16:45:00",225,62814,7363,647958,88
79,"2018-06-15 17:10:00",714,52515,7755,535113,69
83,"2018-06-15 17:30:00",225,221825,17080,1246893,73
76,"2018-06-15 16:55:00",644,235243,8838,883871,100
90,"2018-06-15 18:05:00",225,52781,6591,547075,83
84,"2018-06-15 17:35:00",812,980823,32348,2749584,85
95,"2018-06-15 18:30:00",1085,98853,8604,705573,82
85,"2018-06-15 17:40:00",679,62136,7765,543575,70
87,"2018-06-15 17:50:00",616,31565,6202,427990,69
88,"2018-06-15 17:55:00",844,119342,10282,730059,71
91,"2018-06-15 18:10:00",641,45069,6048,423414,70
92,"2018-06-15 18:15:00",533,52492,6435,444019,69
93,"2018-06-15 18:20:00",820,32474,6859,493855,72
94,"2018-06-15 18:25:00",876,52515,8695,1313075,151
96,"2018-06-15 18:35:00",752,119744,8872,656529,74
97,"2018-06-15 18:40:00",610,300962,11818,791838,67
98,"2018-06-15 18:45:00",225,48186,6796,367027,54
99,"2018-06-15 18:50:00",490,1987687,31101,3265685,105
100,"2018-06-15 18:55:00",602,516891,14582,1035349,71
101,"2018-06-15 19:00:00",683,22306,4976,418003,84
124,"2018-06-15 20:55:00",517,70725,5890,736259,125
137,"2018-06-15 22:00:00",225,168198,11338,997796,88
131,"2018-06-15 21:30:00",745,671988,17445,1325820,76
109,"2018-06-15 19:40:00",933,49861,6093,505790,83
102,"2018-06-15 19:05:00",225,8189612,44962,9622002,214
117,"2018-06-15 20:20:00",506,207561,7568,787076,104
190,"2018-06-16 02:25:00",644,88234,7399,392151,53
175,"2018-06-16 01:10:00",225,15244,5082,320218,63
143,"2018-06-15 22:30:00",225,31284,7233,311051,43
110,"2018-06-15 19:45:00",225,52237,5127,528085,103
103,"2018-06-15 19:10:00",687,31565,4795,431589,90
125,"2018-06-15 21:00:00",225,141853,7441,751587,101
160,"2018-06-15 23:55:00",644,114811,7058,437605,62
148,"2018-06-15 22:55:00",614,98677,7614,563485,74
118,"2018-06-15 20:25:00",764,1218762,20043,1783911,89
104,"2018-06-15 19:15:00",225,36909,4158,307748,74
132,"2018-06-15 21:35:00",664,24985,5825,314564,54
111,"2018-06-15 19:50:00",225,69411,8217,772434,94
138,"2018-06-15 22:05:00",225,17915,6329,379769,60
169,"2018-06-16 00:40:00",858,98645,7183,387900,54
126,"2018-06-15 21:05:00",858,52457,7471,410951,55
105,"2018-06-15 19:20:00",629,98787,7562,529404,70
119,"2018-06-15 20:30:00",794,68791,8374,720164,86
112,"2018-06-15 19:55:00",616,44753,5813,610378,105
186,"2018-06-16 02:05:00",225,29685,6357,349682,55
153,"2018-06-15 23:20:00",824,161727,11006,660389,60
106,"2018-06-15 19:25:00",1144,1218762,23020,1841658,80
133,"2018-06-15 21:40:00",521,52492,8899,525043,59
144,"2018-06-15 22:35:00",660,52492,6778,325351,48
113,"2018-06-15 20:00:00",824,31565,5875,499451,85
120,"2018-06-15 20:35:00",820,40344,6052,556803,92
127,"2018-06-15 21:10:00",1045,40018,6547,530370,81
107,"2018-06-15 19:30:00",642,32760,7627,312729,41
180,"2018-06-16 01:35:00",975,161379,11091,454734,41
139,"2018-06-15 22:10:00",677,35582,6789,543188,80
157,"2018-06-15 23:40:00",512,119558,7198,655069,91
114,"2018-06-15 20:05:00",830,52492,5603,560380,100
149,"2018-06-15 23:00:00",552,52492,5846,725014,124
108,"2018-06-15 19:35:00",228,52515,5922,532980,90
121,"2018-06-15 20:40:00",509,193500,7765,908511,117
134,"2018-06-15 21:45:00",225,33240,4572,507536,111
