"id","ts","min","max","avg","p50","p95","p99","sum","cnt"
36,"2018-06-16 21:00:00",1,2023,48,20,130,286,49635,1015
71,"2018-06-18 08:00:00",1,5613,114,46,286,756,170741,1491
72,"2018-06-18 09:00:00",1,6970,177,56,615,1053,258413,1456
76,"2018-06-18 13:00:00",1,3964,84,40,406,702,121232,1437
4,"2018-06-15 13:00:00",1,2827,65,40,257,386,227504,3457
5,"2018-06-15 14:00:00",1,5175,78,33,261,582,115122,1467
11,"2018-06-15 20:00:00",1,3556,117,41,355,882,133834,1140
1,"2018-06-15 10:00:00",1,2529,68,30,142,349,18453,271
28,"2018-06-16 13:00:00",1,1532,46,17,163,340,59447,1265
12,"2018-06-15 21:00:00",1,1747,88,50,248,455,74236,843
29,"2018-06-16 14:00:00",1,1751,54,23,122,417,66405,1227
49,"2018-06-17 10:00:00",1,2331,77,52,216,440,94446,1222
42,"2018-06-17 03:00:00",1,2288,68,56,111,286,58476,855
30,"2018-06-16 15:00:00",1,4077,57,28,154,538,94633,1654
17,"2018-06-16 02:00:00",1,1805,90,52,259,411,58810,649
2,"2018-06-15 11:00:00",1,4896,86,40,307,617,100287,1154
6,"2018-06-15 15:00:00",1,5137,96,48,370,643,92984,964
13,"2018-06-15 22:00:00",1,22595,176,55,386,1442,134671,761
15,"2018-06-16 00:00:00",1,3223,87,47,283,466,64734,739
18,"2018-06-16 03:00:00",1,1520,73,47,159,368,57632,789
7,"2018-06-15 16:00:00",1,2888,74,39,199,489,75745,1016
14,"2018-06-15 23:00:00",1,2321,86,45,252,455,70658,818
27,"2018-06-16 12:00:00",1,2402,46,20,112,424,67318,1450
8,"2018-06-15 17:00:00",1,2768,79,41,252,496,75722,954
3,"2018-06-15 12:00:00",1,10967,104,37,466,892,114073,1091
33,"2018-06-16 18:00:00",1,5059,67,24,225,599,83089,1224
16,"2018-06-16 01:00:00",1,5326,83,44,308,457,54881,658
19,"2018-06-16 04:00:00",1,14707,103,46,293,754,80255,774
21,"2018-06-16 06:00:00",1,2784,72,38,185,404,64998,892
20,"2018-06-16 05:00:00",1,2055,78,46,225,461,60655,768
23,"2018-06-16 08:00:00",1,14723,64,25,132,608,76975,1198
22,"2018-06-16 07:00:00",1,2770,62,27,151,511,73922,1186
10,"2018-06-15 19:00:00",1,2464,69,35,219,441,77989,1128
9,"2018-06-15 18:00:00",1,2304,73,36,245,483,72424,982
26,"2018-06-16 11:00:00",1,1577,46,24,138,350,70368,1507
24,"2018-06-16 09:00:00",1,5060,86,24,272,710,112544,1305
50,"2018-06-17 11:00:00",1,5012,86,46,193,754,111339,1290
35,"2018-06-16 20:00:00",1,1738,48,25,128,303,52231,1080
25,"2018-06-16 10:00:00",1,6000,79,48,195,478,96775,1215
52,"2018-06-17 13:00:00",1,1564,59,46,157,321,72714,1218
31,"2018-06-16 16:00:00",1,5747,64,23,292,653,174773,2702
54,"2018-06-17 15:00:00",1,1700,67,48,160,450,82744,1225
61,"2018-06-17 22:00:00",1,76493,329,33,2426,2682,188832,573
63,"2018-06-18 00:00:00",1,2388,88,53,182,470,88237,993
48,"2018-06-17 09:00:00",1,2399,82,41,223,507,113391,1378
40,"2018-06-17 01:00:00",1,1793,72,55,184,296,54858,754
38,"2018-06-16 23:00:00",1,13287,89,60,341,526,77288,867
64,"2018-06-18 01:00:00",1,1973,78,54,181,482,75967,962
45,"2018-06-17 06:00:00",1,1943,62,44,160,372,75564,1214
37,"2018-06-16 22:00:00",1,26009,249,86,776,986,291917,1169
44,"2018-06-17 05:00:00",1,1675,82,53,174,479,79959,974
75,"2018-06-18 12:00:00",1,2797,101,49,328,676,155804,1529
34,"2018-06-16 19:00:00",1,5023,86,25,294,671,108344,1249
32,"2018-06-16 17:00:00",1,6088,53,26,181,376,129026,2422
39,"2018-06-17 00:00:00",1,2592,84,57,170,402,75358,890
46,"2018-06-17 07:00:00",1,2419,165,113,312,567,196670,1186
51,"2018-06-17 12:00:00",1,3184,78,50,181,457,89709,1147
58,"2018-06-17 19:00:00",1,3428,71,49,191,566,135873,1911
