"id","ts","cnt","l1","l2","l3","l4","apmi"
1,"2018-06-15 10:40:00",13,13,0,0,0,100
91,"2018-06-15 18:10:00",70,70,0,0,0,100
12,"2018-06-15 11:35:00",69,69,0,0,0,100
30,"2018-06-15 13:05:00",94,93,1,0,0,99.734
7,"2018-06-15 11:10:00",127,126,1,0,0,99.8031
18,"2018-06-15 12:05:00",88,86,0,2,0,98.8636
2,"2018-06-15 10:45:00",78,77,1,0,0,99.6795
36,"2018-06-15 13:35:00",55,55,0,0,0,100
24,"2018-06-15 12:35:00",125,125,0,0,0,100
13,"2018-06-15 11:40:00",161,161,0,0,0,100
90,"2018-06-15 18:05:00",83,83,0,0,0,100
8,"2018-06-15 11:15:00",85,85,0,0,0,100
3,"2018-06-15 10:50:00",88,88,0,0,0,100
63,"2018-06-15 15:50:00",66,66,0,0,0,100
54,"2018-06-15 15:05:00",78,78,0,0,0,100
43,"2018-06-15 14:10:00",498,497,1,0,0,99.9498
19,"2018-06-15 12:10:00",87,87,0,0,0,100
14,"2018-06-15 11:45:00",102,100,1,1,0,99.2647
4,"2018-06-15 10:55:00",92,92,0,0,0,100
9,"2018-06-15 11:20:00",71,71,0,0,0,100
31,"2018-06-15 13:10:00",117,117,0,0,0,100
37,"2018-06-15 13:40:00",61,61,0,0,0,100
5,"2018-06-15 11:00:00",97,97,0,0,0,100
20,"2018-06-15 12:15:00",81,81,0,0,0,100
15,"2018-06-15 11:50:00",87,86,1,0,0,99.7126
10,"2018-06-15 11:25:00",79,79,0,0,0,100
6,"2018-06-15 11:05:00",119,118,1,0,0,99.7899
25,"2018-06-15 12:40:00",94,94,0,0,0,100
94,"2018-06-15 18:25:00",151,151,0,0,0,100
49,"2018-06-15 14:40:00",81,81,0,0,0,100
59,"2018-06-15 15:30:00",86,85,1,0,0,99.7093
32,"2018-06-15 13:15:00",156,156,0,0,0,100
11,"2018-06-15 11:30:00",93,93,0,0,0,100
16,"2018-06-15 11:55:00",64,64,0,0,0,100
26,"2018-06-15 12:45:00",110,110,0,0,0,100
21,"2018-06-15 12:20:00",74,74,0,0,0,100
67,"2018-06-15 16:10:00",69,69,0,0,0,100
38,"2018-06-15 13:45:00",74,74,0,0,0,100
27,"2018-06-15 12:50:00",75,75,0,0,0,100
17,"2018-06-15 12:00:00",63,61,1,0,0,98.0159
44,"2018-06-15 14:15:00",54,54,0,0,0,100
22,"2018-06-15 12:25:00",84,83,0,1,0,99.4048
74,"2018-06-15 16:45:00",88,88,0,0,0,100
71,"2018-06-15 16:30:00",58,58,0,0,0,100
55,"2018-06-15 15:10:00",81,81,0,0,0,100
33,"2018-06-15 13:20:00",1794,1794,0,0,0,100
28,"2018-06-15 12:55:00",95,93,1,1,0,99.2105
23,"2018-06-15 12:30:00",115,115,0,0,0,100
50,"2018-06-15 14:45:00",92,92,0,0,0,100
39,"2018-06-15 13:50:00",47,46,1,0,0,99.4681
89,"2018-06-15 18:00:00",84,84,0,0,0,100
45,"2018-06-15 14:20:00",138,138,0,0,0,100
34,"2018-06-15 13:25:00",805,805,0,0,0,100
29,"2018-06-15 13:00:00",101,101,0,0,0,100
64,"2018-06-15 15:55:00",68,68,0,0,0,100
60,"2018-06-15 15:35:00",121,120,1,0,0,99.7934
40,"2018-06-15 13:55:00",63,63,0,0,0,100
77,"2018-06-15 17:00:00",82,82,0,0,0,100
51,"2018-06-15 14:50:00",125,125,0,0,0,100
35,"2018-06-15 13:30:00",90,90,0,0,0,100
82,"2018-06-15 17:25:00",103,102,1,0,0,99.7573
46,"2018-06-15 14:25:00",98,98,0,0,0,100
41,"2018-06-15 14:00:00",47,47,0,0,0,100
56,"2018-06-15 15:15:00",72,72,0,0,0,100
68,"2018-06-15 16:15:00",78,78,0,0,0,100
80,"2018-06-15 17:15:00",78,78,0,0,0,100
52,"2018-06-15 14:55:00",100,99,0,1,0,99.5
42,"2018-06-15 14:05:00",81,81,0,0,0,100
47,"2018-06-15 14:30:00",86,85,1,0,0,99.7093
61,"2018-06-15 15:40:00",83,82,1,0,0,99.6988
72,"2018-06-15 16:35:00",112,112,0,0,0,100
57,"2018-06-15 15:20:00",60,60,0,0,0,100
65,"2018-06-15 16:00:00",67,67,0,0,0,100
84,"2018-06-15 17:35:00",85,85,0,0,0,100
53,"2018-06-15 15:00:00",88,87,0,1,0,99.4318
48,"2018-06-15 14:35:00",67,67,0,0,0,100
75,"2018-06-15 16:50:00",127,124,3,0,0,99.4094
69,"2018-06-15 16:20:00",52,52,0,0,0,100
62,"2018-06-15 15:45:00",73,73,0,0,0,100
58,"2018-06-15 15:25:00",88,87,1,0,0,99.7159
86,"2018-06-15 17:45:00",66,66,0,0,0,100
