"id","ts","min","max","avg","sum","cnt"
2436,"2018-06-24 05:50:00",0,715,24,2282,95
2457,"2018-06-24 07:35:00",0,585,8,813,100
2444,"2018-06-24 06:30:00",0,494,7,708,91
2428,"2018-06-24 05:10:00",0,6376,85,7166,84
2451,"2018-06-24 07:05:00",0,164,3,414,108
2468,"2018-06-24 08:30:00",0,494,12,1454,115
2437,"2018-06-24 05:55:00",0,1021,17,2301,128
2463,"2018-06-24 08:05:00",0,6561,67,10474,156
2429,"2018-06-24 05:15:00",0,1034,35,3335,93
2477,"2018-06-24 09:15:00",0,1437,27,3400,125
2445,"2018-06-24 06:35:00",0,990,17,2463,138
2490,"2018-06-24 10:20:00",0,797,16,2350,142
2481,"2018-06-24 09:35:00",0,189,2,313,107
2473,"2018-06-24 08:55:00",0,826,19,2202,114
2438,"2018-06-24 06:00:00",0,192,2,283,124
2430,"2018-06-24 05:20:00",0,3157,38,4534,118
2452,"2018-06-24 07:10:00",0,646,20,2941,145
2458,"2018-06-24 07:40:00",0,5670,55,6094,109
2446,"2018-06-24 06:40:00",0,162,1,218,120
2431,"2018-06-24 05:25:00",0,1270,10,1794,175
2439,"2018-06-24 06:05:00",0,9765,123,17505,142
2469,"2018-06-24 08:35:00",0,237,5,880,147
2464,"2018-06-24 08:10:00",0,345,7,1115,155
2453,"2018-06-24 07:15:00",0,950,10,1389,134
2432,"2018-06-24 05:30:00",0,408,7,774,108
2497,"2018-06-24 10:55:00",0,999,28,3172,111
2440,"2018-06-24 06:10:00",0,6747,142,15000,105
2447,"2018-06-24 06:45:00",0,1226,20,2261,112
2459,"2018-06-24 07:45:00",0,2318,38,4244,111
2433,"2018-06-24 05:35:00",0,1082,18,1534,83
2493,"2018-06-24 10:35:00",0,172,4,421,101
2478,"2018-06-24 09:20:00",0,714,44,4311,97
2441,"2018-06-24 06:15:00",0,62,0,85,86
2474,"2018-06-24 09:00:00",0,248,5,548,107
2454,"2018-06-24 07:20:00",0,4201,71,10987,154
2448,"2018-06-24 06:50:00",0,202,2,202,90
2465,"2018-06-24 08:15:00",0,264,3,413,114
2460,"2018-06-24 07:50:00",0,1413,41,4209,101
2470,"2018-06-24 08:40:00",0,3992,40,5773,144
2488,"2018-06-24 10:10:00",0,445,8,923,105
2455,"2018-06-24 07:25:00",0,563,16,2827,168
2485,"2018-06-24 09:55:00",0,894,18,2262,121
2482,"2018-06-24 09:40:00",0,679,14,2499,172
2466,"2018-06-24 08:20:00",0,339,8,850,99
2461,"2018-06-24 07:55:00",0,1397,21,2809,129
2475,"2018-06-24 09:05:00",0,564,16,2922,172
2471,"2018-06-24 08:45:00",0,672,14,1508,107
2499,"2018-06-24 11:05:00",0,282,1,382,209
2479,"2018-06-24 09:25:00",0,1415,15,2211,144
2491,"2018-06-24 10:25:00",0,20297,194,22392,115
2510,"2018-06-24 12:00:00",0,488,6,702,113
2507,"2018-06-24 11:45:00",0,1420,23,2354,99
2483,"2018-06-24 09:45:00",0,215,3,735,200
2476,"2018-06-24 09:10:00",0,823,23,3457,150
2486,"2018-06-24 10:00:00",0,329,6,649,103
2501,"2018-06-24 11:15:00",0,1118,20,3166,156
2489,"2018-06-24 10:15:00",0,0,0,0,114
2496,"2018-06-24 10:50:00",0,1873,30,4569,148
2494,"2018-06-24 10:40:00",0,10548,101,10765,106
2492,"2018-06-24 10:30:00",0,492,11,1363,120
2506,"2018-06-24 11:40:00",0,92,0,92,113
2498,"2018-06-24 11:00:00",0,302,3,438,124
2505,"2018-06-24 11:35:00",0,390,6,732,121
2500,"2018-06-24 11:10:00",0,927,12,1509,117
2504,"2018-06-24 11:30:00",0,555,10,1180,116
2503,"2018-06-24 11:25:00",0,668,13,1626,117
2508,"2018-06-24 11:50:00",0,1200,22,3279,145
2512,"2018-06-24 12:10:00",0,991,20,2577,124
2509,"2018-06-24 11:55:00",0,675,13,1775,130
2513,"2018-06-24 12:15:00",0,950,11,1999,168
2519,"2018-06-24 12:45:00",0,729,37,5424,143
2514,"2018-06-24 12:20:00",0,62,0,110,132
2515,"2018-06-24 12:25:00",0,165,2,274,126
2516,"2018-06-24 12:30:00",0,779,14,1800,127
2517,"2018-06-24 12:35:00",0,206,6,715,111
2518,"2018-06-24 12:40:00",0,240,4,534,123
2520,"2018-06-24 12:50:00",0,352,19,2631,138
2521,"2018-06-24 12:55:00",0,336,11,2387,211
2522,"2018-06-24 13:00:00",0,126,5,533,104
2523,"2018-06-24 13:05:00",0,580,27,4649,168
2524,"2018-06-24 13:10:00",0,608,13,1322,100
2525,"2018-06-24 13:15:00",0,124,2,287,101
2597,"2018-06-24 19:15:00",0,559,9,1122,115
2588,"2018-06-24 18:30:00",0,1334,46,4486,97
2550,"2018-06-24 15:20:00",0,210,7,543,75
2543,"2018-06-24 14:45:00",0,192,2,192,78
2535,"2018-06-24 14:05:00",0,182,2,279,103
2526,"2018-06-24 13:20:00",0,1368,15,1780,113
2568,"2018-06-24 16:50:00",0,1840,35,4655,130
2557,"2018-06-24 15:55:00",0,987,18,1582,86
2612,"2018-06-24 20:30:00",0,2,0,2,116
2563,"2018-06-24 16:25:00",0,279,4,507,114
2527,"2018-06-24 13:25:00",0,415,12,1454,116
2573,"2018-06-24 17:15:00",0,10119,116,12772,110
2536,"2018-06-24 14:10:00",0,606,15,2288,144
2544,"2018-06-24 14:50:00",0,1362,9,1724,181
2551,"2018-06-24 15:25:00",0,4501,73,6096,83
2528,"2018-06-24 13:30:00",0,661,19,2061,105
2596,"2018-06-24 19:10:00",0,1324,21,1913,88
2585,"2018-06-24 18:15:00",0,1680,39,6110,155
2591,"2018-06-24 18:45:00",0,1634,21,2556,118
2537,"2018-06-24 14:15:00",0,465,12,1783,146
2558,"2018-06-24 16:00:00",0,1284,30,2735,89
2545,"2018-06-24 14:55:00",0,986,21,1911,89
2529,"2018-06-24 13:35:00",0,6537,37,8502,224
2569,"2018-06-24 16:55:00",0,987,9,2225,229
2552,"2018-06-24 15:30:00",0,645,11,1011,90
2564,"2018-06-24 16:30:00",0,5101,86,13102,151
2538,"2018-06-24 14:20:00",0,1345,22,3117,137
2530,"2018-06-24 13:40:00",0,1162,15,1419,92
2582,"2018-06-24 18:00:00",0,713,10,1171,117
2578,"2018-06-24 17:40:00",0,384,7,957,132
2546,"2018-06-24 15:00:00",0,1073,27,2956,107
2574,"2018-06-24 17:20:00",0,304,3,845,235
2559,"2018-06-24 16:05:00",0,673,14,1508,101
2539,"2018-06-24 14:25:00",0,1402,18,3190,172
2531,"2018-06-24 13:45:00",0,1930,24,2457,102
