"id","ts","min","max","avg","sum","cnt"
167,"2018-06-22 15:00:00",0,50773,114,120138,1046
186,"2018-06-23 10:00:00",0,7235,51,85834,1659
150,"2018-06-21 22:00:00",0,8185,6,32087,4879
103,"2018-06-19 18:00:00",0,74818,80,148100,1836
121,"2018-06-20 12:00:00",0,4979,13,60303,4381
146,"2018-06-21 18:00:00",0,88269,36,186342,5087
115,"2018-06-20 06:00:00",0,5937,13,51221,3731
175,"2018-06-22 23:00:00",0,8219,22,31221,1373
108,"2018-06-19 23:00:00",0,7010,7,33332,4270
123,"2018-06-20 19:00:00",0,178982,51,277745,5368
110,"2018-06-20 01:00:00",0,20282,14,62682,4296
143,"2018-06-21 15:00:00",0,38269,23,113353,4808
130,"2018-06-21 02:00:00",0,95143,22,117518,5288
105,"2018-06-19 20:00:00",0,7800,22,39987,1782
102,"2018-06-19 17:00:00",0,2592,14,23202,1628
117,"2018-06-20 08:00:00",0,10386,21,101313,4627
177,"2018-06-23 01:00:00",0,2875,9,13154,1369
162,"2018-06-22 10:00:00",0,21808,77,61990,797
112,"2018-06-20 03:00:00",0,2742,4,19313,4379
172,"2018-06-22 20:00:00",0,50993,96,139504,1447
155,"2018-06-22 03:00:00",0,64737,48,99640,2043
125,"2018-06-20 21:00:00",0,2307,5,26113,5109
119,"2018-06-20 10:00:00",0,107222,60,260884,4311
154,"2018-06-22 02:00:00",0,1783,10,19205,1756
128,"2018-06-21 00:00:00",0,6083,5,29531,5142
107,"2018-06-19 22:00:00",0,3231,10,41129,3866
160,"2018-06-22 08:00:00",0,26419,40,61525,1536
156,"2018-06-22 04:00:00",0,12935,26,54135,2032
137,"2018-06-21 09:00:00",0,21307,11,62678,5237
104,"2018-06-19 19:00:00",0,5967,36,65627,1791
114,"2018-06-20 05:00:00",0,4182,14,51015,3547
136,"2018-06-21 08:00:00",0,8282,6,34770,5397
129,"2018-06-21 01:00:00",0,46775,13,71558,5158
135,"2018-06-21 07:00:00",0,3517,6,32531,5069
138,"2018-06-21 10:00:00",0,10155,12,66901,5218
122,"2018-06-20 18:00:00",0,16496,20,111859,5461
109,"2018-06-20 00:00:00",0,1947,7,32220,4403
111,"2018-06-20 02:00:00",0,24514,10,47339,4320
144,"2018-06-21 16:00:00",0,36514,31,165307,5226
116,"2018-06-20 07:00:00",0,5379,14,75846,5197
134,"2018-06-21 06:00:00",0,45093,21,113107,5326
153,"2018-06-22 01:00:00",0,10822,68,137447,2020
127,"2018-06-20 23:00:00",0,9633,7,37336,4911
124,"2018-06-20 20:00:00",0,7577,9,50349,5294
139,"2018-06-21 11:00:00",0,3979,16,84604,5071
118,"2018-06-20 09:00:00",0,10376,15,66674,4413
133,"2018-06-21 05:00:00",0,1403,3,15458,5082
152,"2018-06-22 00:00:00",0,21933,35,69250,1924
147,"2018-06-21 19:00:00",0,12733,8,43950,4905
149,"2018-06-21 21:00:00",0,59830,15,77041,4904
140,"2018-06-21 12:00:00",0,28631,14,75627,5054
132,"2018-06-21 04:00:00",0,4982,5,27149,5137
168,"2018-06-22 16:00:00",0,4123,26,22627,844
157,"2018-06-22 05:00:00",0,4835,19,49682,2540
141,"2018-06-21 13:00:00",0,4922,6,31835,5018
193,"2018-06-23 17:00:00",0,9844,20,39398,1948
184,"2018-06-23 08:00:00",0,57703,53,85756,1593
145,"2018-06-21 17:00:00",0,8303,7,37535,5197
151,"2018-06-21 23:00:00",0,100789,46,120404,2615
185,"2018-06-23 09:00:00",0,5344,22,35010,1572
179,"2018-06-23 03:00:00",0,1538,15,19723,1309
158,"2018-06-22 06:00:00",0,13854,34,51579,1503
178,"2018-06-23 02:00:00",0,2509,15,24450,1615
170,"2018-06-22 18:00:00",0,209206,180,387784,2153
165,"2018-06-22 13:00:00",0,4540,13,25970,1950
161,"2018-06-22 09:00:00",0,1406,19,20637,1044
164,"2018-06-22 12:00:00",0,106118,204,190408,931
176,"2018-06-23 00:00:00",0,5370,18,26896,1461
166,"2018-06-22 14:00:00",0,1242,22,22354,999
163,"2018-06-22 11:00:00",0,4502,60,63277,1042
169,"2018-06-22 17:00:00",0,163524,80,199404,2472
171,"2018-06-22 19:00:00",0,51999,80,115171,1435
174,"2018-06-22 22:00:00",0,101043,139,192605,1384
183,"2018-06-23 07:00:00",0,130753,137,250474,1826
173,"2018-06-22 21:00:00",0,10377,30,38517,1280
191,"2018-06-23 15:00:00",0,7412,20,33869,1651
182,"2018-06-23 06:00:00",0,1337,15,23760,1582
180,"2018-06-23 04:00:00",0,28028,70,107444,1522
189,"2018-06-23 13:00:00",0,90415,220,388083,1761
188,"2018-06-23 12:00:00",0,8724,16,26950,1668
190,"2018-06-23 14:00:00",0,190237,128,251452,1963
187,"2018-06-23 11:00:00",0,2043,14,23488,1627
192,"2018-06-23 16:00:00",0,4047,21,33724,1600
195,"2018-06-23 19:00:00",0,21854,38,58994,1540
194,"2018-06-23 18:00:00",0,7143,22,36345,1592
198,"2018-06-23 22:00:00",0,1398,17,22044,1227
196,"2018-06-23 20:00:00",0,16731,32,40358,1248
197,"2018-06-23 21:00:00",0,2854,14,23194,1554
199,"2018-06-23 23:00:00",0,2520,22,28469,1284
200,"2018-06-24 00:00:00",0,1835,13,14105,1084
201,"2018-06-24 01:00:00",0,13110,34,42897,1246
202,"2018-06-24 02:00:00",0,8851,48,60400,1258
278,"2018-06-27 06:00:00",0,40362,73,63457,869
209,"2018-06-24 09:00:00",0,1513,15,25402,1613
260,"2018-06-26 12:00:00",0,10637,32,47947,1493
237,"2018-06-25 13:00:00",0,19792,35,72614,2054
212,"2018-06-24 12:00:00",0,991,12,19946,1633
236,"2018-06-25 12:00:00",0,12839,46,95343,2062
206,"2018-06-24 06:00:00",0,9765,33,43945,1316
238,"2018-06-25 14:00:00",0,32651,34,67713,1989
226,"2018-06-25 02:00:00",0,2380,16,14391,877
219,"2018-06-24 19:00:00",0,1440,8,11188,1395
235,"2018-06-25 11:00:00",0,3783,13,32064,2390
265,"2018-06-26 17:00:00",0,4378,19,25481,1314
221,"2018-06-24 21:00:00",0,5034,21,29096,1378
203,"2018-06-24 03:00:00",0,10701,23,28801,1248
215,"2018-06-24 15:00:00",0,20641,59,66899,1116
239,"2018-06-25 15:00:00",0,27102,36,64252,1784
229,"2018-06-25 05:00:00",0,29464,118,160863,1354
217,"2018-06-24 17:00:00",0,17270,29,46762,1592
234,"2018-06-25 10:00:00",0,7296,21,58411,2667
210,"2018-06-24 10:00:00",0,20297,47,65080,1370
277,"2018-06-27 05:00:00",0,9295,56,44163,782
223,"2018-06-24 23:00:00",0,4631,71,65515,910
207,"2018-06-24 07:00:00",0,5670,28,42089,1496
267,"2018-06-26 19:00:00",0,4507,24,30947,1250
245,"2018-06-25 21:00:00",0,8935,27,42989,1554
240,"2018-06-25 16:00:00",0,16201,58,96793,1649
213,"2018-06-24 13:00:00",0,6537,18,25983,1406
233,"2018-06-25 09:00:00",0,6747,17,36119,2028
204,"2018-06-24 04:00:00",0,5237,21,24383,1115
264,"2018-06-26 16:00:00",0,16267,50,55074,1099
249,"2018-06-26 01:00:00",0,9883,8,17673,2056
225,"2018-06-25 01:00:00",0,5098,17,16806,977
248,"2018-06-26 00:00:00",0,2870,11,16363,1482
241,"2018-06-25 17:00:00",0,39631,50,86805,1733
228,"2018-06-25 04:00:00",0,1954,17,17226,979
232,"2018-06-25 08:00:00",0,3501,43,79655,1829
218,"2018-06-24 18:00:00",0,5154,25,40503,1611
208,"2018-06-24 08:00:00",0,6561,25,38894,1521
211,"2018-06-24 11:00:00",0,1420,10,17075,1560
216,"2018-06-24 16:00:00",0,8741,41,64981,1561
220,"2018-06-24 20:00:00",0,2284,18,24486,1306
205,"2018-06-24 05:00:00",0,6376,22,27950,1266
271,"2018-06-26 23:00:00",0,1505,18,16901,899
251,"2018-06-26 03:00:00",0,3352,12,15224,1237
284,"2018-06-27 12:00:00",0,14410,61,56436,924
242,"2018-06-25 18:00:00",0,8430,48,72610,1507
222,"2018-06-24 22:00:00",0,5694,136,398689,2918
214,"2018-06-24 14:00:00",0,3010,16,22686,1414
