"id","ts","cnt","l1","l2","l3","l4","apmi"
16,"2018-06-16 01:00:00",658,657,0,1,0,99.924
3,"2018-06-15 12:00:00",1091,1084,2,4,0,99.6792
7,"2018-06-15 16:00:00",1016,1013,3,0,0,99.9262
22,"2018-06-16 07:00:00",1186,1185,1,0,0,99.9789
68,"2018-06-18 05:00:00",3653,3650,3,0,0,99.9795
54,"2018-06-17 15:00:00",1225,1225,0,0,0,100
63,"2018-06-18 00:00:00",993,992,1,0,0,99.9748
23,"2018-06-16 08:00:00",1198,1196,1,0,0,99.8957
12,"2018-06-15 21:00:00",843,843,0,0,0,100
4,"2018-06-15 13:00:00",3457,3455,2,0,0,99.9855
8,"2018-06-15 17:00:00",954,953,1,0,0,99.9738
84,"2018-06-18 23:00:00",1969,1964,3,1,0,99.8857
17,"2018-06-16 02:00:00",649,649,0,0,0,100
73,"2018-06-18 10:00:00",1293,1289,4,0,0,99.9227
51,"2018-06-17 12:00:00",1147,1145,2,0,0,99.9564
1,"2018-06-15 10:00:00",271,270,1,0,0,99.9077
24,"2018-06-16 09:00:00",1305,1300,2,3,0,99.8467
75,"2018-06-18 12:00:00",1529,1523,6,0,0,99.9019
5,"2018-06-15 14:00:00",1467,1464,2,1,0,99.9318
13,"2018-06-15 22:00:00",761,753,4,1,1,99.4415
62,"2018-06-17 23:00:00",830,829,1,0,0,99.9699
9,"2018-06-15 18:00:00",982,980,2,0,0,99.9491
18,"2018-06-16 03:00:00",789,789,0,0,0,100
59,"2018-06-17 20:00:00",673,670,1,2,0,99.8143
2,"2018-06-15 11:00:00",1154,1149,4,1,0,99.87
25,"2018-06-16 10:00:00",1215,1214,0,1,0,99.9588
57,"2018-06-17 18:00:00",1574,1572,1,1,0,99.9524
6,"2018-06-15 15:00:00",964,959,4,1,0,99.8444
14,"2018-06-15 23:00:00",818,817,1,0,0,99.9694
10,"2018-06-15 19:00:00",1128,1124,4,0,0,99.9113
76,"2018-06-18 13:00:00",1437,1431,6,0,0,99.8956
72,"2018-06-18 09:00:00",1456,1448,7,0,1,99.8283
26,"2018-06-16 11:00:00",1507,1507,0,0,0,100
19,"2018-06-16 04:00:00",774,772,0,1,0,99.8062
52,"2018-06-17 13:00:00",1218,1218,0,0,0,100
27,"2018-06-16 12:00:00",1450,1448,2,0,0,99.9655
11,"2018-06-15 20:00:00",1140,1132,8,0,0,99.8246
15,"2018-06-16 00:00:00",739,737,2,0,0,99.9323
20,"2018-06-16 05:00:00",768,767,1,0,0,99.9674
55,"2018-06-17 16:00:00",2294,2292,2,0,0,99.9782
91,"2018-06-19 06:00:00",1827,1824,2,0,0,99.9179
77,"2018-06-18 14:00:00",502,499,1,0,2,99.6514
28,"2018-06-16 13:00:00",1265,1265,0,0,0,100
61,"2018-06-17 22:00:00",573,562,5,1,1,98.8656
21,"2018-06-16 06:00:00",892,890,2,0,0,99.9439
81,"2018-06-18 20:00:00",1191,1190,1,0,0,99.979
69,"2018-06-18 06:00:00",1266,1263,1,1,1,99.8815
29,"2018-06-16 14:00:00",1227,1227,0,0,0,100
83,"2018-06-18 22:00:00",1744,1735,4,3,0,99.742
30,"2018-06-16 15:00:00",1654,1651,2,1,0,99.9395
71,"2018-06-18 08:00:00",1491,1476,6,9,0,99.5976
53,"2018-06-17 14:00:00",1106,1100,6,0,0,99.8644
31,"2018-06-16 16:00:00",2702,2699,2,1,0,99.963
32,"2018-06-16 17:00:00",2422,2416,4,1,1,99.9071
46,"2018-06-17 07:00:00",1186,1184,2,0,0,99.9578
47,"2018-06-17 08:00:00",1308,1306,0,1,1,99.9044
33,"2018-06-16 18:00:00",1224,1222,1,1,0,99.9387
34,"2018-06-16 19:00:00",1249,1241,7,1,0,99.8199
45,"2018-06-17 06:00:00",1214,1214,0,0,0,100
35,"2018-06-16 20:00:00",1080,1080,0,0,0,100
40,"2018-06-17 01:00:00",754,754,0,0,0,100
36,"2018-06-16 21:00:00",1015,1014,1,0,0,99.9754
37,"2018-06-16 22:00:00",1169,1162,6,0,0,99.7861
38,"2018-06-16 23:00:00",867,865,1,0,0,99.8558
39,"2018-06-17 00:00:00",890,889,1,0,0,99.9719
42,"2018-06-17 03:00:00",855,854,1,0,0,99.9708
41,"2018-06-17 02:00:00",870,868,2,0,0,99.9425
43,"2018-06-17 04:00:00",884,882,0,2,0,99.8869
44,"2018-06-17 05:00:00",974,974,0,0,0,100
65,"2018-06-18 02:00:00",1082,1081,1,0,0,99.9769
48,"2018-06-17 09:00:00",1378,1377,1,0,0,99.9819
64,"2018-06-18 01:00:00",962,962,0,0,0,100
89,"2018-06-19 04:00:00",1726,1722,3,0,0,99.8986
