"id","cnt","ts"
165,74,"2018-06-22 13:00:00"
243,109,"2018-06-25 19:00:00"
177,70,"2018-06-23 01:00:00"
192,81,"2018-06-23 16:00:00"
158,94,"2018-06-22 06:00:00"
201,66,"2018-06-24 01:00:00"
208,89,"2018-06-24 08:00:00"
163,88,"2018-06-22 11:00:00"
180,71,"2018-06-23 04:00:00"
156,81,"2018-06-22 04:00:00"
173,81,"2018-06-22 21:00:00"
168,69,"2018-06-22 16:00:00"
186,93,"2018-06-23 10:00:00"
183,106,"2018-06-23 07:00:00"
154,69,"2018-06-22 02:00:00"
189,89,"2018-06-23 13:00:00"
143,98,"2018-06-21 15:00:00"
151,75,"2018-06-21 23:00:00"
161,77,"2018-06-22 09:00:00"
244,105,"2018-06-25 20:00:00"
236,115,"2018-06-25 12:00:00"
148,97,"2018-06-21 20:00:00"
221,84,"2018-06-24 21:00:00"
212,99,"2018-06-24 12:00:00"
176,64,"2018-06-23 00:00:00"
171,104,"2018-06-22 19:00:00"
166,73,"2018-06-22 14:00:00"
159,81,"2018-06-22 07:00:00"
242,109,"2018-06-25 18:00:00"
199,69,"2018-06-23 23:00:00"
269,89,"2018-06-26 21:00:00"
245,95,"2018-06-25 21:00:00"
205,67,"2018-06-24 05:00:00"
164,80,"2018-06-22 12:00:00"
178,78,"2018-06-23 02:00:00"
196,85,"2018-06-23 20:00:00"
169,114,"2018-06-22 17:00:00"
241,103,"2018-06-25 17:00:00"
253,79,"2018-06-26 05:00:00"
174,81,"2018-06-22 22:00:00"
193,97,"2018-06-23 17:00:00"
181,70,"2018-06-23 05:00:00"
184,90,"2018-06-23 08:00:00"
187,88,"2018-06-23 11:00:00"
232,105,"2018-06-25 08:00:00"
190,94,"2018-06-23 14:00:00"
172,89,"2018-06-22 20:00:00"
202,69,"2018-06-24 02:00:00"
216,100,"2018-06-24 16:00:00"
246,83,"2018-06-25 22:00:00"
209,88,"2018-06-24 09:00:00"
225,62,"2018-06-25 01:00:00"
179,68,"2018-06-23 03:00:00"
219,100,"2018-06-24 19:00:00"
227,73,"2018-06-25 03:00:00"
200,66,"2018-06-24 00:00:00"
213,96,"2018-06-24 13:00:00"
240,99,"2018-06-25 16:00:00"
182,79,"2018-06-23 06:00:00"
197,102,"2018-06-23 21:00:00"
185,85,"2018-06-23 09:00:00"
235,108,"2018-06-25 11:00:00"
188,87,"2018-06-23 12:00:00"
194,94,"2018-06-23 18:00:00"
191,93,"2018-06-23 15:00:00"
206,83,"2018-06-24 06:00:00"
250,70,"2018-06-26 02:00:00"
224,68,"2018-06-25 00:00:00"
229,82,"2018-06-25 05:00:00"
203,68,"2018-06-24 03:00:00"
222,88,"2018-06-24 22:00:00"
210,88,"2018-06-24 10:00:00"
247,71,"2018-06-25 23:00:00"
239,101,"2018-06-25 15:00:00"
289,72,"2018-06-27 17:00:00"
274,68,"2018-06-27 02:00:00"
257,110,"2018-06-26 09:00:00"
214,93,"2018-06-24 14:00:00"
207,96,"2018-06-24 07:00:00"
268,96,"2018-06-26 20:00:00"
234,109,"2018-06-25 10:00:00"
231,101,"2018-06-25 07:00:00"
220,91,"2018-06-24 20:00:00"
217,100,"2018-06-24 17:00:00"
284,84,"2018-06-27 12:00:00"
248,75,"2018-06-26 00:00:00"
211,93,"2018-06-24 11:00:00"
238,103,"2018-06-25 14:00:00"
283,71,"2018-06-27 11:00:00"
262,108,"2018-06-26 14:00:00"
251,74,"2018-06-26 03:00:00"
226,68,"2018-06-25 02:00:00"
261,114,"2018-06-26 13:00:00"
254,95,"2018-06-26 06:00:00"
228,74,"2018-06-25 04:00:00"
263,112,"2018-06-26 15:00:00"
237,109,"2018-06-25 13:00:00"
260,107,"2018-06-26 12:00:00"
233,117,"2018-06-25 09:00:00"
256,114,"2018-06-26 08:00:00"
287,79,"2018-06-27 15:00:00"
282,82,"2018-06-27 10:00:00"
252,93,"2018-06-26 04:00:00"
264,92,"2018-06-26 16:00:00"
259,103,"2018-06-26 11:00:00"
266,106,"2018-06-26 18:00:00"
280,154,"2018-06-27 08:00:00"
249,68,"2018-06-26 01:00:00"
277,77,"2018-06-27 05:00:00"
276,86,"2018-06-27 04:00:00"
267,105,"2018-06-26 19:00:00"
265,114,"2018-06-26 17:00:00"
258,104,"2018-06-26 10:00:00"
279,166,"2018-06-27 07:00:00"
273,64,"2018-06-27 01:00:00"
271,83,"2018-06-26 23:00:00"
270,96,"2018-06-26 22:00:00"
275,71,"2018-06-27 03:00:00"
293,62,"2018-06-27 21:00:00"
295,52,"2018-06-27 23:00:00"
281,91,"2018-06-27 09:00:00"
285,81,"2018-06-27 13:00:00"
291,76,"2018-06-27 19:00:00"
325,77,"2018-06-29 05:00:00"
305,76,"2018-06-28 09:00:00"
345,67,"2018-06-30 01:00:00"
286,80,"2018-06-27 14:00:00"
326,89,"2018-06-29 06:00:00"
306,77,"2018-06-28 10:00:00"
307,76,"2018-06-28 11:00:00"
328,97,"2018-06-29 08:00:00"
