"id","ts","min","max","avg","p50","p95","p99","sum","cnt"
1,"2018-06-15 10:40:00",4,126,43,9,102,126,565,13
8,"2018-06-15 11:15:00",1,539,61,46,135,234,5204,85
39,"2018-06-15 13:50:00",1,2827,177,64,905,906,8364,47
28,"2018-06-15 12:55:00",1,4808,144,27,689,1461,13697,95
6,"2018-06-15 11:05:00",1,2239,84,33,353,932,10034,119
13,"2018-06-15 11:40:00",1,1417,47,37,92,380,7716,161
23,"2018-06-15 12:30:00",1,1644,89,26,276,1054,10327,115
4,"2018-06-15 10:55:00",1,382,50,32,145,202,4607,92
18,"2018-06-15 12:05:00",1,4733,176,29,1197,1650,15517,88
25,"2018-06-15 12:40:00",1,253,48,24,147,169,4571,94
68,"2018-06-15 16:15:00",1,1319,86,45,309,551,6763,78
35,"2018-06-15 13:30:00",1,208,55,37,117,156,4971,90
48,"2018-06-15 14:35:00",1,1119,85,31,181,545,5739,67
11,"2018-06-15 11:30:00",1,991,86,56,167,394,8076,93
2,"2018-06-15 10:45:00",1,2529,92,27,188,808,7208,78
16,"2018-06-15 11:55:00",1,1017,70,40,315,348,4485,64
33,"2018-06-15 13:20:00",1,1545,63,58,86,154,114724,1794
31,"2018-06-15 13:10:00",1,112,26,15,76,97,3101,117
9,"2018-06-15 11:20:00",1,1825,120,48,443,591,8574,71
7,"2018-06-15 11:10:00",1,2397,123,34,355,974,15727,127
5,"2018-06-15 11:00:00",1,443,38,15,116,191,3722,97
45,"2018-06-15 14:20:00",1,1009,61,11,158,526,8518,138
14,"2018-06-15 11:45:00",1,4896,148,40,798,1354,15158,102
55,"2018-06-15 15:10:00",1,437,40,37,94,205,3301,81
65,"2018-06-15 16:00:00",1,1543,87,43,96,665,5885,67
21,"2018-06-15 12:20:00",1,200,38,33,88,119,2849,74
3,"2018-06-15 10:50:00",1,484,69,53,132,261,6073,88
26,"2018-06-15 12:45:00",1,1440,92,16,515,596,10178,110
19,"2018-06-15 12:10:00",1,1511,79,62,131,573,6932,87
12,"2018-06-15 11:35:00",1,1835,94,35,451,773,6488,69
54,"2018-06-15 15:05:00",1,1427,72,42,363,499,5630,78
71,"2018-06-15 16:30:00",1,709,69,37,136,364,4024,58
24,"2018-06-15 12:35:00",1,997,64,24,161,358,8099,125
17,"2018-06-15 12:00:00",1,10967,350,98,778,2595,22090,63
10,"2018-06-15 11:25:00",1,1443,75,41,285,522,5962,79
42,"2018-06-15 14:05:00",1,1429,94,14,513,632,7661,81
29,"2018-06-15 13:00:00",1,517,53,31,154,303,5416,101
50,"2018-06-15 14:45:00",1,1201,67,35,125,385,6188,92
15,"2018-06-15 11:50:00",1,2435,105,56,179,708,9141,87
47,"2018-06-15 14:30:00",1,2820,98,55,253,723,8435,86
40,"2018-06-15 13:55:00",1,1491,71,14,383,542,4503,63
38,"2018-06-15 13:45:00",1,574,34,15,82,226,2587,74
22,"2018-06-15 12:25:00",1,5687,122,41,1327,1397,10328,84
27,"2018-06-15 12:50:00",1,1422,55,17,105,399,4166,75
32,"2018-06-15 13:15:00",1,1345,88,49,197,552,13794,156
20,"2018-06-15 12:15:00",1,963,65,43,177,333,5319,81
34,"2018-06-15 13:25:00",1,1059,65,52,119,154,52843,805
36,"2018-06-15 13:35:00",1,1560,83,57,483,489,4613,55
76,"2018-06-15 16:55:00",1,1462,60,26,79,577,6005,100
44,"2018-06-15 14:15:00",1,1440,134,59,510,812,7281,54
69,"2018-06-15 16:20:00",1,1313,97,37,366,573,5065,52
53,"2018-06-15 15:00:00",1,5137,153,34,566,1606,13475,88
30,"2018-06-15 13:05:00",1,2305,104,41,387,922,9829,94
60,"2018-06-15 15:35:00",1,3102,84,66,883,903,10189,121
59,"2018-06-15 15:30:00",1,3128,143,50,557,1207,12342,86
46,"2018-06-15 14:25:00",1,1194,61,30,134,420,6030,98
41,"2018-06-15 14:00:00",1,1651,258,47,766,822,12151,47
49,"2018-06-15 14:40:00",1,1135,58,26,114,353,4747,81
37,"2018-06-15 13:40:00",1,196,45,44,96,129,2759,61
43,"2018-06-15 14:10:00",1,2514,66,34,125,172,33270,498
52,"2018-06-15 14:55:00",1,5175,112,31,172,1480,11242,100
61,"2018-06-15 15:40:00",1,3390,130,42,440,842,10846,83
66,"2018-06-15 16:05:00",1,372,50,41,142,207,4279,84
58,"2018-06-15 15:25:00",1,2249,101,27,342,807,8939,88
51,"2018-06-15 14:50:00",1,174,30,20,79,113,3860,125
57,"2018-06-15 15:20:00",1,647,73,64,260,274,4428,60
62,"2018-06-15 15:45:00",1,1165,82,52,179,356,6029,73
75,"2018-06-15 16:50:00",1,2888,119,50,670,809,15198,127
56,"2018-06-15 15:15:00",1,1551,101,48,369,413,7332,72
63,"2018-06-15 15:50:00",1,1335,106,70,208,407,7002,66
74,"2018-06-15 16:45:00",1,1916,85,43,124,700,7529,88
64,"2018-06-15 15:55:00",1,390,51,38,183,192,3471,68
67,"2018-06-15 16:10:00",1,737,74,45,162,233,5114,69
77,"2018-06-15 17:00:00",1,1394,65,37,404,497,5384,82
70,"2018-06-15 16:25:00",1,1361,67,36,126,653,7424,110
72,"2018-06-15 16:35:00",1,682,47,46,98,278,5264,112
81,"2018-06-15 17:20:00",1,1174,67,35,107,519,6282,93
73,"2018-06-15 16:40:00",1,855,45,17,79,257,3195,71
83,"2018-06-15 17:30:00",1,1623,91,42,269,703,6694,73
78,"2018-06-15 17:05:00",1,1606,59,24,109,691,5691,95
79,"2018-06-15 17:10:00",1,1313,91,58,359,418,6307,69
80,"2018-06-15 17:15:00",1,422,53,32,113,176,4203,78
82,"2018-06-15 17:25:00",1,2768,105,42,168,791,10845,103
84,"2018-06-15 17:35:00",1,657,64,39,201,337,5443,85
85,"2018-06-15 17:40:00",1,670,58,36,180,275,4074,70
86,"2018-06-15 17:45:00",1,1451,89,50,420,449,5930,66
88,"2018-06-15 17:55:00",1,1338,116,56,289,527,8247,71
87,"2018-06-15 17:50:00",1,868,95,42,403,574,6622,69
90,"2018-06-15 18:05:00",1,331,35,19,99,180,2945,83
