"id","ts","min","max","avg","p50","p95","p99","sum","cnt"
1050,"2018-05-29 05:00:00",1,751,2,1,1,18,4321,1766
1014,"2018-05-25 10:00:00",1,713,2,1,10,50,7788,2674
1012,"2018-05-25 08:00:00",1,1350,3,1,17,45,9623,2484
1053,"2018-05-29 08:00:00",1,2494,5,1,18,64,8588,1586
995,"2018-05-24 15:00:00",1,398,1,1,2,14,3202,2237
998,"2018-05-24 18:00:00",1,632,2,1,10,16,3701,1663
1021,"2018-05-25 17:00:00",1,1041,3,1,7,29,2751,878
1008,"2018-05-25 04:00:00",1,83,1,1,3,7,1391,963
1051,"2018-05-29 06:00:00",1,2090,4,1,11,82,9786,2353
1058,"2018-05-29 13:00:00",1,757,3,1,19,43,5362,1505
1015,"2018-05-25 11:00:00",1,1382,3,1,11,43,6069,1865
1006,"2018-05-25 02:00:00",1,15,1,1,3,5,1063,801
1040,"2018-05-28 19:00:00",1,999,3,1,10,31,6963,1910
1019,"2018-05-25 15:00:00",1,131,4,2,15,20,4838,1131
1002,"2018-05-24 22:00:00",1,35,1,1,4,8,2060,1332
1039,"2018-05-28 18:00:00",1,1439,4,1,25,54,12390,2509
1009,"2018-05-25 05:00:00",1,99,1,1,2,11,2357,1634
1000,"2018-05-24 20:00:00",1,372,1,1,2,11,2737,1979
1025,"2018-05-25 21:00:00",1,207,1,1,7,17,2320,1162
1034,"2018-05-28 13:00:00",1,541,3,2,12,32,5046,1329
1005,"2018-05-25 01:00:00",1,33,1,1,3,5,2147,1481
1062,"2018-05-29 17:00:00",1,20,1,1,2,6,2630,2136
1027,"2018-05-25 23:00:00",1,18,2,3,5,5,569,214
1065,"2018-05-29 20:00:00",1,2062,5,1,20,49,9177,1740
996,"2018-05-24 16:00:00",1,339,1,1,3,18,2612,1434
1044,"2018-05-28 23:00:00",1,2665,5,1,10,57,6288,1072
1045,"2018-05-29 00:00:00",1,26,1,1,2,4,1119,785
1004,"2018-05-25 00:00:00",1,29,1,1,4,7,2280,1408
1024,"2018-05-25 20:00:00",1,109,1,1,4,7,1901,1334
1013,"2018-05-25 09:00:00",1,622,2,1,10,17,5881,2392
1016,"2018-05-25 12:00:00",1,1302,5,1,31,42,11525,2111
994,"2018-05-24 14:00:00",1,1595,9,1,28,39,16154,1744
999,"2018-05-24 19:00:00",1,735,1,1,3,8,3299,1880
1010,"2018-05-25 06:00:00",1,140,1,1,2,13,2984,2052
1054,"2018-05-29 09:00:00",1,37,1,1,2,6,2009,1480
1043,"2018-05-28 22:00:00",1,1204,6,5,33,35,5564,800
1031,"2018-05-28 10:00:00",1,2209,8,1,29,64,11415,1371
1007,"2018-05-25 03:00:00",1,15,1,1,3,5,1102,840
1036,"2018-05-28 15:00:00",1,32,2,2,10,14,3904,1397
1020,"2018-05-25 16:00:00",1,317,1,1,4,13,2197,1156
1047,"2018-05-29 02:00:00",1,36,1,2,4,4,922,540
1017,"2018-05-25 13:00:00",1,38,2,1,12,18,5795,2247
1029,"2018-05-26 01:00:00",1,32,4,3,7,7,857,212
1055,"2018-05-29 10:00:00",1,35,1,1,2,6,2216,1743
1023,"2018-05-25 19:00:00",1,50,1,1,4,8,2051,1409
1046,"2018-05-29 01:00:00",1,28,1,1,3,5,1080,706
1028,"2018-05-26 00:00:00",1,15,2,3,5,5,385,179
1026,"2018-05-25 22:00:00",1,2261,8,1,41,49,6774,757
1049,"2018-05-29 04:00:00",1,162,1,1,4,8,1608,1006
1038,"2018-05-28 17:00:00",1,140,3,2,11,17,4346,1340
1035,"2018-05-28 14:00:00",1,1620,12,2,51,79,16665,1353
1042,"2018-05-28 21:00:00",1,36,4,3,12,16,4426,1002
1037,"2018-05-28 16:00:00",1,34,2,1,10,15,3501,1439
1041,"2018-05-28 20:00:00",1,34,3,2,12,16,4999,1485
1064,"2018-05-29 19:00:00",1,42,1,1,3,6,2071,1553
1070,"2018-05-30 01:00:00",1,18,1,1,4,5,987,592
1052,"2018-05-29 07:00:00",1,56,1,1,3,7,1919,1420
1048,"2018-05-29 03:00:00",1,21,1,1,3,4,1026,631
1059,"2018-05-29 14:00:00",1,1385,4,1,9,22,4755,1155
1063,"2018-05-29 18:00:00",1,64,1,1,2,7,2243,1656
1068,"2018-05-29 23:00:00",1,25,1,1,4,6,1118,726
1057,"2018-05-29 12:00:00",1,736,2,1,6,24,5793,2088
1073,"2018-05-30 04:00:00",1,45,1,1,4,6,1118,757
1060,"2018-05-29 15:00:00",1,41,1,1,4,7,1566,925
1067,"2018-05-29 22:00:00",1,326,2,1,3,11,1774,828
1071,"2018-05-30 02:00:00",1,17,1,1,3,5,901,616
1066,"2018-05-29 21:00:00",1,1261,3,1,9,41,3896,1006
1069,"2018-05-30 00:00:00",1,47,1,2,3,5,1031,714
1074,"2018-05-30 05:00:00",1,840,4,1,15,24,7172,1784
1075,"2018-05-30 06:00:00",1,1636,4,1,12,61,12002,2524
1072,"2018-05-30 03:00:00",1,33,1,1,2,4,888,675
1079,"2018-05-30 10:00:00",1,37,1,1,2,9,2619,1950
1076,"2018-05-30 07:00:00",1,436,1,1,2,14,4188,2260
1077,"2018-05-30 08:00:00",1,42,1,1,2,8,2237,1712
1078,"2018-05-30 09:00:00",1,1581,3,1,28,31,4940,1524
1081,"2018-05-30 12:00:00",1,1086,1,1,3,26,3672,1882
1080,"2018-05-30 11:00:00",1,1331,3,1,11,41,5134,1632
1082,"2018-05-30 13:00:00",1,3945,25,1,53,71,27888,1105
1083,"2018-05-30 14:00:00",1,997,2,1,11,28,4020,1627
1084,"2018-05-30 15:00:00",1,1381,4,1,25,32,7224,1477
1102,"2018-05-31 09:00:00",1,2910,5,1,33,56,14828,2613
1093,"2018-05-31 00:00:00",1,43,1,1,2,5,1895,1512
