"id","ts","min","max","avg","sum","cnt"
167,"2018-06-22 15:00:00",225,4714990,17359,18157620,1046
142,"2018-06-21 14:00:00",225,980797,6440,31982323,4966
120,"2018-06-20 11:00:00",479,980762,6464,33409711,5168
131,"2018-06-21 03:00:00",474,581882,6654,34698160,5214
126,"2018-06-20 22:00:00",506,265174,6097,31191188,5115
113,"2018-06-20 04:00:00",225,217330,3276,13054178,3984
106,"2018-06-19 21:00:00",225,1367765,7019,17520585,2496
148,"2018-06-21 20:00:00",225,712319,6214,30004255,4828
186,"2018-06-23 10:00:00",225,1579945,14963,24824196,1659
175,"2018-06-22 23:00:00",225,2632414,8180,11231652,1373
150,"2018-06-21 22:00:00",225,404080,6059,29562228,4879
103,"2018-06-19 18:00:00",228,4714990,13459,24712158,1836
121,"2018-06-20 12:00:00",455,4715185,9071,39743645,4381
146,"2018-06-21 18:00:00",228,980776,6884,35019029,5087
115,"2018-06-20 06:00:00",477,409815,5150,19218162,3731
108,"2018-06-19 23:00:00",477,158424,3943,16838555,4270
123,"2018-06-20 19:00:00",228,4715041,7362,39522712,5368
162,"2018-06-22 10:00:00",225,524490,9616,7664096,797
110,"2018-06-20 01:00:00",456,298737,4032,17322060,4296
143,"2018-06-21 15:00:00",225,1367765,6904,33198220,4808
130,"2018-06-21 02:00:00",225,4714990,7148,37802240,5288
105,"2018-06-19 20:00:00",559,980867,8034,14317207,1782
102,"2018-06-19 17:00:00",228,532462,5706,9290521,1628
117,"2018-06-20 08:00:00",228,1575388,7488,34650896,4627
177,"2018-06-23 01:00:00",225,190186,5951,8148067,1369
172,"2018-06-22 20:00:00",225,2739717,9529,13789484,1447
160,"2018-06-22 08:00:00",225,1586398,9009,13838795,1536
112,"2018-06-20 03:00:00",225,207561,3649,15980564,4379
155,"2018-06-22 03:00:00",225,1503428,5997,12253314,2043
125,"2018-06-20 21:00:00",507,498049,5031,25708008,5109
154,"2018-06-22 02:00:00",225,313895,5006,8791183,1756
119,"2018-06-20 10:00:00",396,4714990,10669,45994689,4311
128,"2018-06-21 00:00:00",344,295817,5934,30516783,5142
107,"2018-06-19 22:00:00",225,250382,5491,21229024,3866
156,"2018-06-22 04:00:00",225,1119701,8259,16782887,2032
137,"2018-06-21 09:00:00",225,980372,6454,33799609,5237
104,"2018-06-19 19:00:00",506,2423268,9940,17802941,1791
114,"2018-06-20 05:00:00",467,859278,5531,19618943,3547
136,"2018-06-21 08:00:00",225,6459013,7306,39431737,5397
129,"2018-06-21 01:00:00",460,4715041,7403,38189571,5158
153,"2018-06-22 01:00:00",225,4296869,8685,17545575,2020
135,"2018-06-21 07:00:00",225,1005181,6521,33058036,5069
138,"2018-06-21 10:00:00",225,980759,6909,36053069,5218
122,"2018-06-20 18:00:00",225,9614777,9399,51329160,5461
109,"2018-06-20 00:00:00",344,487168,4068,17914488,4403
111,"2018-06-20 02:00:00",470,989927,3841,16596805,4320
144,"2018-06-21 16:00:00",225,1589481,7069,36945682,5226
116,"2018-06-20 07:00:00",543,320994,7731,40180514,5197
134,"2018-06-21 06:00:00",225,3427454,8905,47431801,5326
168,"2018-06-22 16:00:00",225,980837,10654,8992804,844
127,"2018-06-20 23:00:00",477,352024,6834,33562834,4911
124,"2018-06-20 20:00:00",228,417425,6958,36838454,5294
139,"2018-06-21 11:00:00",225,3376875,7384,37446739,5071
118,"2018-06-20 09:00:00",584,3427553,8209,36227091,4413
133,"2018-06-21 05:00:00",228,524550,5957,30274779,5082
152,"2018-06-22 00:00:00",225,334064,6971,13412312,1924
147,"2018-06-21 19:00:00",225,423092,6526,32014521,4905
149,"2018-06-21 21:00:00",225,4714990,6429,31531624,4904
140,"2018-06-21 12:00:00",228,375879,6706,33895771,5054
132,"2018-06-21 04:00:00",514,210454,6408,32919303,5137
157,"2018-06-22 05:00:00",225,278230,5826,14799161,2540
193,"2018-06-23 17:00:00",225,807991,6951,13541958,1948
184,"2018-06-23 08:00:00",225,13256378,15023,23932922,1593
141,"2018-06-21 13:00:00",225,524683,7043,35343425,5018
185,"2018-06-23 09:00:00",225,4296920,10531,16555241,1572
145,"2018-06-21 17:00:00",225,980822,6441,33474765,5197
179,"2018-06-23 03:00:00",225,240534,6849,8965597,1309
151,"2018-06-21 23:00:00",225,522871,6696,17512231,2615
178,"2018-06-23 02:00:00",225,495336,7123,11504218,1615
158,"2018-06-22 06:00:00",225,538521,5746,8636958,1503
170,"2018-06-22 18:00:00",225,4715041,10841,23340853,2153
165,"2018-06-22 13:00:00",225,980760,6376,12433802,1950
161,"2018-06-22 09:00:00",225,524490,7024,7333636,1044
164,"2018-06-22 12:00:00",225,908292,9892,9210253,931
176,"2018-06-23 00:00:00",225,323711,6335,9256696,1461
166,"2018-06-22 14:00:00",225,980823,8896,8887643,999
159,"2018-06-22 07:00:00",225,2206031,6708,10981954,1637
163,"2018-06-22 11:00:00",225,1579796,15168,15805508,1042
169,"2018-06-22 17:00:00",225,4715041,8391,20743977,2472
171,"2018-06-22 19:00:00",225,6459107,13228,18983156,1435
174,"2018-06-22 22:00:00",225,826077,7750,10726087,1384
183,"2018-06-23 07:00:00",225,13256412,24742,45179728,1826
173,"2018-06-22 21:00:00",225,1987687,9568,12248122,1280
191,"2018-06-23 15:00:00",225,1579864,8333,13758704,1651
182,"2018-06-23 06:00:00",225,532337,7138,11292976,1582
180,"2018-06-23 04:00:00",225,760561,8297,12628106,1522
189,"2018-06-23 13:00:00",225,8189644,21822,38428901,1761
188,"2018-06-23 12:00:00",225,1987730,7519,12542463,1668
190,"2018-06-23 14:00:00",225,8189359,10414,20444349,1963
187,"2018-06-23 11:00:00",225,547425,6455,10502769,1627
192,"2018-06-23 16:00:00",225,708827,6977,11164321,1600
195,"2018-06-23 19:00:00",225,524522,6123,9430737,1540
194,"2018-06-23 18:00:00",225,2571446,9964,15863991,1592
198,"2018-06-23 22:00:00",225,193088,6711,8235089,1227
196,"2018-06-23 20:00:00",225,980775,7910,9872434,1248
197,"2018-06-23 21:00:00",225,671864,6117,9505954,1554
199,"2018-06-23 23:00:00",225,405611,7038,9037796,1284
200,"2018-06-24 00:00:00",225,320417,5345,5794311,1084
201,"2018-06-24 01:00:00",225,443922,5131,6393569,1246
202,"2018-06-24 02:00:00",225,223932,9801,12330618,1258
278,"2018-06-27 06:00:00",422,980601,8567,7445204,869
209,"2018-06-24 09:00:00",225,128934,5735,9251618,1613
260,"2018-06-26 12:00:00",228,2571610,13654,20385433,1493
237,"2018-06-25 13:00:00",225,1579900,10122,20791798,2054
212,"2018-06-24 12:00:00",225,252182,5639,9208504,1633
236,"2018-06-25 12:00:00",225,524599,9121,18808809,2062
206,"2018-06-24 06:00:00",225,244978,6075,7995100,1316
238,"2018-06-25 14:00:00",225,550441,9475,18847540,1989
226,"2018-06-25 02:00:00",225,357632,6658,5839698,877
219,"2018-06-24 19:00:00",225,345755,6115,8531214,1395
