"id","ts","cnt","l1","l2","l3","l4","apmi"
1562,"2018-06-28 19:00:00",2234,2234,0,0,0,100
1563,"2018-06-28 20:00:00",1659,1659,0,0,0,100
1564,"2018-06-28 21:00:00",1112,1112,0,0,0,100
1568,"2018-06-29 01:00:00",766,766,0,0,0,100
1578,"2018-06-29 11:00:00",1119,1119,0,0,0,100
1610,"2018-06-30 19:00:00",1017,1017,0,0,0,100
1574,"2018-06-29 07:00:00",1745,1745,0,0,0,100
1565,"2018-06-28 22:00:00",1000,1000,0,0,0,100
1609,"2018-06-30 18:00:00",1067,1067,0,0,0,100
1598,"2018-06-30 07:00:00",1587,1587,0,0,0,100
1569,"2018-06-29 02:00:00",653,653,0,0,0,100
1605,"2018-06-30 14:00:00",542,542,0,0,0,100
1582,"2018-06-29 15:00:00",781,781,0,0,0,100
1566,"2018-06-28 23:00:00",848,848,0,0,0,100
1601,"2018-06-30 10:00:00",1565,1565,0,0,0,100
1585,"2018-06-29 18:00:00",1117,1117,0,0,0,100
1593,"2018-06-30 02:00:00",541,541,0,0,0,100
1579,"2018-06-29 12:00:00",812,810,2,0,0,99.9384
1570,"2018-06-29 03:00:00",730,730,0,0,0,100
1575,"2018-06-29 08:00:00",1713,1713,0,0,0,100
1567,"2018-06-29 00:00:00",765,765,0,0,0,100
1613,"2018-06-30 22:00:00",316,316,0,0,0,100
1595,"2018-06-30 04:00:00",441,441,0,0,0,100
1588,"2018-06-29 21:00:00",896,896,0,0,0,100
1608,"2018-06-30 17:00:00",907,907,0,0,0,100
1571,"2018-06-29 04:00:00",804,804,0,0,0,100
1583,"2018-06-29 16:00:00",1398,1398,0,0,0,100
1576,"2018-06-29 09:00:00",1653,1653,0,0,0,100
1604,"2018-06-30 13:00:00",1013,1013,0,0,0,100
1597,"2018-06-30 06:00:00",983,983,0,0,0,100
1580,"2018-06-29 13:00:00",596,596,0,0,0,100
1600,"2018-06-30 09:00:00",1125,1125,0,0,0,100
1572,"2018-06-29 05:00:00",1474,1474,0,0,0,100
1586,"2018-06-29 19:00:00",964,964,0,0,0,100
1607,"2018-06-30 16:00:00",676,676,0,0,0,100
1589,"2018-06-29 22:00:00",482,481,1,0,0,99.9481
1577,"2018-06-29 10:00:00",1493,1493,0,0,0,100
1573,"2018-06-29 06:00:00",1951,1951,0,0,0,100
1603,"2018-06-30 12:00:00",1295,1295,0,0,0,100
1594,"2018-06-30 03:00:00",502,502,0,0,0,100
1581,"2018-06-29 14:00:00",831,831,0,0,0,100
1584,"2018-06-29 17:00:00",895,895,0,0,0,100
1599,"2018-06-30 08:00:00",1866,1866,0,0,0,100
1592,"2018-06-30 01:00:00",214,214,0,0,0,100
1590,"2018-06-29 23:00:00",308,308,0,0,0,100
1612,"2018-06-30 21:00:00",460,459,1,0,0,99.9457
1596,"2018-06-30 05:00:00",647,647,0,0,0,100
1587,"2018-06-29 20:00:00",1047,1045,2,0,0,99.9522
1591,"2018-06-30 00:00:00",207,207,0,0,0,100
1606,"2018-06-30 15:00:00",758,758,0,0,0,100
1602,"2018-06-30 11:00:00",1157,1156,1,0,0,99.9784
1614,"2018-06-30 23:00:00",398,398,0,0,0,100
1611,"2018-06-30 20:00:00",808,808,0,0,0,100
1715,"2018-07-05 04:00:00",255,255,0,0,0,100
1624,"2018-07-01 09:00:00",933,933,0,0,0,100
1680,"2018-07-03 17:00:00",1097,1097,0,0,0,100
1660,"2018-07-02 21:00:00",577,576,1,0,0,99.9567
1617,"2018-07-01 02:00:00",245,245,0,0,0,100
1625,"2018-07-01 10:00:00",685,685,0,0,0,100
1668,"2018-07-03 05:00:00",1106,1106,0,0,0,100
1626,"2018-07-01 11:00:00",890,890,0,0,0,100
1665,"2018-07-03 02:00:00",148,148,0,0,0,100
1643,"2018-07-02 04:00:00",830,830,0,0,0,100
1618,"2018-07-01 03:00:00",173,173,0,0,0,100
1627,"2018-07-01 12:00:00",843,843,0,0,0,100
1666,"2018-07-03 03:00:00",200,200,0,0,0,100
1652,"2018-07-02 13:00:00",765,765,0,0,0,100
1620,"2018-07-01 05:00:00",728,728,0,0,0,100
1616,"2018-07-01 01:00:00",307,307,0,0,0,100
1644,"2018-07-02 05:00:00",1472,1472,0,0,0,100
1642,"2018-07-02 03:00:00",323,323,0,0,0,100
1628,"2018-07-01 13:00:00",644,644,0,0,0,100
1619,"2018-07-01 04:00:00",175,175,0,0,0,100
1621,"2018-07-01 06:00:00",766,766,0,0,0,100
1615,"2018-07-01 00:00:00",296,296,0,0,0,100
1651,"2018-07-02 12:00:00",723,723,0,0,0,100
1632,"2018-07-01 17:00:00",933,933,0,0,0,100
1650,"2018-07-02 11:00:00",529,529,0,0,0,100
1629,"2018-07-01 14:00:00",783,783,0,0,0,100
1630,"2018-07-01 15:00:00",594,594,0,0,0,100
1622,"2018-07-01 07:00:00",1210,1210,0,0,0,100
1631,"2018-07-01 16:00:00",918,918,0,0,0,100
1645,"2018-07-02 06:00:00",1951,1951,0,0,0,100
1633,"2018-07-01 18:00:00",835,835,0,0,0,100
1637,"2018-07-01 22:00:00",417,417,0,0,0,100
1623,"2018-07-01 08:00:00",1289,1282,7,0,0,99.8642
1676,"2018-07-03 13:00:00",866,866,0,0,0,100
1634,"2018-07-01 19:00:00",999,999,0,0,0,100
1636,"2018-07-01 21:00:00",490,490,0,0,0,100
1704,"2018-07-04 17:00:00",850,850,0,0,0,100
1635,"2018-07-01 20:00:00",1150,1150,0,0,0,100
1646,"2018-07-02 07:00:00",1769,1769,0,0,0,100
1678,"2018-07-03 15:00:00",873,873,0,0,0,100
1649,"2018-07-02 10:00:00",642,642,0,0,0,100
1647,"2018-07-02 08:00:00",1530,1530,0,0,0,100
1703,"2018-07-04 16:00:00",925,925,0,0,0,100
1681,"2018-07-03 18:00:00",996,996,0,0,0,100
1648,"2018-07-02 09:00:00",1380,1380,0,0,0,100
1690,"2018-07-04 03:00:00",148,148,0,0,0,100
1671,"2018-07-03 08:00:00",1616,1616,0,0,0,100
1641,"2018-07-02 02:00:00",128,128,0,0,0,100
1673,"2018-07-03 10:00:00",1117,1117,0,0,0,100
1640,"2018-07-02 01:00:00",94,94,0,0,0,100
1638,"2018-07-01 23:00:00",273,273,0,0,0,100
1639,"2018-07-02 00:00:00",155,155,0,0,0,100
1659,"2018-07-02 20:00:00",529,529,0,0,0,100
1661,"2018-07-02 22:00:00",274,274,0,0,0,100
1694,"2018-07-04 07:00:00",1684,1684,0,0,0,100
1663,"2018-07-03 00:00:00",72,72,0,0,0,100
1657,"2018-07-02 18:00:00",1069,1069,0,0,0,100
1656,"2018-07-02 17:00:00",867,867,0,0,0,100
1658,"2018-07-02 19:00:00",1241,1241,0,0,0,100
1669,"2018-07-03 06:00:00",1518,1517,1,0,0,99.9835
1655,"2018-07-02 16:00:00",1181,1172,9,0,0,99.8095
1654,"2018-07-02 15:00:00",1287,1287,0,0,0,100
1675,"2018-07-03 12:00:00",555,555,0,0,0,100
1677,"2018-07-03 14:00:00",524,523,1,0,0,99.9523
1662,"2018-07-02 23:00:00",120,120,0,0,0,100
1693,"2018-07-04 06:00:00",1490,1490,0,0,0,100
1682,"2018-07-03 19:00:00",956,956,0,0,0,100
1653,"2018-07-02 14:00:00",688,688,0,0,0,100
1688,"2018-07-04 01:00:00",269,269,0,0,0,100
1683,"2018-07-03 20:00:00",798,798,0,0,0,100
1710,"2018-07-04 23:00:00",488,488,0,0,0,100
1667,"2018-07-03 04:00:00",312,312,0,0,0,100
1707,"2018-07-04 20:00:00",623,623,0,0,0,100
1695,"2018-07-04 08:00:00",1630,1630,0,0,0,100
1686,"2018-07-03 23:00:00",294,294,0,0,0,100
1672,"2018-07-03 09:00:00",1339,1339,0,0,0,100
1670,"2018-07-03 07:00:00",1572,1572,0,0,0,100
1684,"2018-07-03 21:00:00",517,517,0,0,0,100
1664,"2018-07-03 01:00:00",135,135,0,0,0,100
1692,"2018-07-04 05:00:00",1062,1062,0,0,0,100
1687,"2018-07-04 00:00:00",277,277,0,0,0,100
1674,"2018-07-03 11:00:00",840,840,0,0,0,100
1685,"2018-07-03 22:00:00",431,431,0,0,0,100
1700,"2018-07-04 13:00:00",645,645,0,0,0,100
1699,"2018-07-04 12:00:00",784,784,0,0,0,100
1679,"2018-07-03 16:00:00",1327,1327,0,0,0,100
1696,"2018-07-04 09:00:00",1170,1170,0,0,0,100
1709,"2018-07-04 22:00:00",584,584,0,0,0,100
1706,"2018-07-04 19:00:00",1106,1106,0,0,0,100
1691,"2018-07-04 04:00:00",438,438,0,0,0,100
1689,"2018-07-04 02:00:00",269,269,0,0,0,100
1702,"2018-07-04 15:00:00",815,815,0,0,0,100
1697,"2018-07-04 10:00:00",584,584,0,0,0,100
1701,"2018-07-04 14:00:00",1056,1056,0,0,0,100
1708,"2018-07-04 21:00:00",765,765,0,0,0,100
1698,"2018-07-04 11:00:00",602,602,0,0,0,100
1705,"2018-07-04 18:00:00",1068,1068,0,0,0,100
1712,"2018-07-05 01:00:00",150,150,0,0,0,100
1711,"2018-07-05 00:00:00",185,185,0,0,0,100
1714,"2018-07-05 03:00:00",112,112,0,0,0,100
1717,"2018-07-05 06:00:00",1155,1155,0,0,0,100
1713,"2018-07-05 02:00:00",151,151,0,0,0,100
1716,"2018-07-05 05:00:00",1177,1177,0,0,0,100
1718,"2018-07-05 07:00:00",1680,1680,0,0,0,100
1719,"2018-07-05 08:00:00",788,788,0,0,0,100
1720,"2018-07-05 09:00:00",845,845,0,0,0,100
1721,"2018-07-05 10:00:00",756,756,0,0,0,100
1722,"2018-07-05 11:00:00",295,295,0,0,0,100
1723,"2018-07-05 12:00:00",519,519,0,0,0,100
1724,"2018-07-05 13:00:00",489,489,0,0,0,100
1725,"2018-07-05 14:00:00",452,452,0,0,0,100
1726,"2018-07-05 15:00:00",761,761,0,0,0,100
1792,"2018-07-08 09:00:00",719,719,0,0,0,100
1756,"2018-07-06 21:00:00",400,400,0,0,0,100
1743,"2018-07-06 08:00:00",623,623,0,0,0,100
1728,"2018-07-05 17:00:00",991,991,0,0,0,100
1793,"2018-07-08 10:00:00",835,835,0,0,0,100
1751,"2018-07-06 16:00:00",633,633,0,0,0,100
1749,"2018-07-06 14:00:00",600,600,0,0,0,100
1807,"2018-07-09 00:00:00",145,145,0,0,0,100
1753,"2018-07-06 18:00:00",880,880,0,0,0,100
1773,"2018-07-07 14:00:00",455,455,0,0,0,100
1746,"2018-07-06 11:00:00",879,879,0,0,0,100
1733,"2018-07-05 22:00:00",375,375,0,0,0,100
1796,"2018-07-08 13:00:00",584,584,0,0,0,100
1786,"2018-07-08 03:00:00",202,202,0,0,0,100
1741,"2018-07-06 06:00:00",557,557,0,0,0,100
1735,"2018-07-06 00:00:00",119,119,0,0,0,100
1729,"2018-07-05 18:00:00",450,450,0,0,0,100
1802,"2018-07-08 19:00:00",1031,1031,0,0,0,100
1784,"2018-07-08 01:00:00",220,220,0,0,0,100
1769,"2018-07-07 10:00:00",795,795,0,0,0,100
1727,"2018-07-05 16:00:00",754,754,0,0,0,100
1787,"2018-07-08 04:00:00",279,279,0,0,0,100
1734,"2018-07-05 23:00:00",224,224,0,0,0,100
1747,"2018-07-06 12:00:00",384,384,0,0,0,100
1828,"2018-07-09 21:00:00",633,633,0,0,0,100
1780,"2018-07-07 21:00:00",435,435,0,0,0,100
1744,"2018-07-06 09:00:00",1031,1031,0,0,0,100
1763,"2018-07-07 04:00:00",209,209,0,0,0,100
1739,"2018-07-06 04:00:00",215,215,0,0,0,100
1730,"2018-07-05 19:00:00",466,466,0,0,0,100
1766,"2018-07-07 07:00:00",608,608,0,0,0,100
1762,"2018-07-07 03:00:00",88,88,0,0,0,100
1738,"2018-07-06 03:00:00",249,249,0,0,0,100
1757,"2018-07-06 22:00:00",444,444,0,0,0,100
1772,"2018-07-07 13:00:00",544,544,0,0,0,100
1768,"2018-07-07 09:00:00",589,589,0,0,0,100
1816,"2018-07-09 09:00:00",729,729,0,0,0,100
1791,"2018-07-08 08:00:00",614,614,0,0,0,100
1782,"2018-07-07 23:00:00",240,240,0,0,0,100
1737,"2018-07-06 02:00:00",156,156,0,0,0,100
1731,"2018-07-05 20:00:00",333,333,0,0,0,100
1750,"2018-07-06 15:00:00",755,755,0,0,0,100
1758,"2018-07-06 23:00:00",418,418,0,0,0,100
1736,"2018-07-06 01:00:00",182,182,0,0,0,100
1732,"2018-07-05 21:00:00",249,249,0,0,0,100
1742,"2018-07-06 07:00:00",1160,1160,0,0,0,100
1752,"2018-07-06 17:00:00",934,934,0,0,0,100
1764,"2018-07-07 05:00:00",312,312,0,0,0,100
1814,"2018-07-09 07:00:00",910,910,0,0,0,100
1748,"2018-07-06 13:00:00",787,787,0,0,0,100
1740,"2018-07-06 05:00:00",614,614,0,0,0,100
1745,"2018-07-06 10:00:00",582,582,0,0,0,100
1754,"2018-07-06 19:00:00",801,801,0,0,0,100
1781,"2018-07-07 22:00:00",531,531,0,0,0,100
1761,"2018-07-07 02:00:00",122,122,0,0,0,100
1803,"2018-07-08 20:00:00",1120,1113,7,0,0,99.8438
1778,"2018-07-07 19:00:00",509,509,0,0,0,100
1759,"2018-07-07 00:00:00",182,182,0,0,0,100
1779,"2018-07-07 20:00:00",3876,3876,0,0,0,100
1788,"2018-07-08 05:00:00",488,488,0,0,0,100
1777,"2018-07-07 18:00:00",495,495,0,0,0,100
1771,"2018-07-07 12:00:00",636,635,1,0,0,99.9607
1755,"2018-07-06 20:00:00",554,554,0,0,0,100
1760,"2018-07-07 01:00:00",291,291,0,0,0,100
1798,"2018-07-08 15:00:00",894,894,0,0,0,100
