"id","cnt","ts"
37,44,"2018-04-13 20:00:00"
23,10,"2018-04-13 06:00:00"
16,43,"2018-04-12 05:00:00"
5,75,"2018-04-11 18:00:00"
41,25,"2018-04-14 00:00:00"
10,24,"2018-04-11 23:00:00"
2,49,"2018-04-11 15:00:00"
12,22,"2018-04-12 01:00:00"
49,43,"2018-04-14 08:00:00"
63,29,"2018-04-14 22:00:00"
54,51,"2018-04-14 13:00:00"
24,53,"2018-04-13 07:00:00"
11,23,"2018-04-12 00:00:00"
6,69,"2018-04-11 19:00:00"
17,45,"2018-04-12 06:00:00"
3,64,"2018-04-11 16:00:00"
44,24,"2018-04-14 03:00:00"
13,18,"2018-04-12 02:00:00"
61,55,"2018-04-14 20:00:00"
7,54,"2018-04-11 20:00:00"
48,46,"2018-04-14 07:00:00"
25,61,"2018-04-13 08:00:00"
8,37,"2018-04-11 21:00:00"
4,67,"2018-04-11 17:00:00"
1,40,"2018-04-11 14:00:00"
18,44,"2018-04-12 07:00:00"
40,23,"2018-04-13 23:00:00"
130,62,"2018-04-17 17:00:00"
14,24,"2018-04-12 03:00:00"
26,59,"2018-04-13 09:00:00"
125,44,"2018-04-17 12:00:00"
53,49,"2018-04-14 12:00:00"
9,26,"2018-04-11 22:00:00"
42,24,"2018-04-14 01:00:00"
19,40,"2018-04-12 08:00:00"
107,76,"2018-04-16 18:00:00"
68,31,"2018-04-15 03:00:00"
15,31,"2018-04-12 04:00:00"
27,55,"2018-04-13 10:00:00"
47,37,"2018-04-14 06:00:00"
22,33,"2018-04-12 11:00:00"
76,55,"2018-04-15 11:00:00"
28,54,"2018-04-13 11:00:00"
20,38,"2018-04-12 09:00:00"
52,36,"2018-04-14 11:00:00"
60,58,"2018-04-14 19:00:00"
29,49,"2018-04-13 12:00:00"
21,38,"2018-04-12 10:00:00"
46,32,"2018-04-14 05:00:00"
30,79,"2018-04-13 13:00:00"
92,29,"2018-04-16 03:00:00"
71,37,"2018-04-15 06:00:00"
31,60,"2018-04-13 14:00:00"
103,49,"2018-04-16 14:00:00"
32,47,"2018-04-13 15:00:00"
33,53,"2018-04-13 16:00:00"
59,60,"2018-04-14 18:00:00"
39,36,"2018-04-13 22:00:00"
34,56,"2018-04-13 17:00:00"
51,43,"2018-04-14 10:00:00"
43,23,"2018-04-14 02:00:00"
35,49,"2018-04-13 18:00:00"
36,55,"2018-04-13 19:00:00"
38,39,"2018-04-13 21:00:00"
45,25,"2018-04-14 04:00:00"
64,37,"2018-04-14 23:00:00"
58,58,"2018-04-14 17:00:00"
80,63,"2018-04-15 15:00:00"
124,44,"2018-04-17 11:00:00"
57,52,"2018-04-14 16:00:00"
75,54,"2018-04-15 10:00:00"
142,52,"2018-04-18 05:00:00"
104,61,"2018-04-16 15:00:00"
50,50,"2018-04-14 09:00:00"
84,65,"2018-04-15 19:00:00"
65,22,"2018-04-15 00:00:00"
56,50,"2018-04-14 15:00:00"
141,45,"2018-04-18 04:00:00"
121,39,"2018-04-17 08:00:00"
70,30,"2018-04-15 05:00:00"
62,41,"2018-04-14 21:00:00"
117,25,"2018-04-17 04:00:00"
87,29,"2018-04-15 22:00:00"
55,48,"2018-04-14 14:00:00"
74,59,"2018-04-15 09:00:00"
79,51,"2018-04-15 14:00:00"
98,46,"2018-04-16 09:00:00"
91,23,"2018-04-16 02:00:00"
97,44,"2018-04-16 08:00:00"
73,47,"2018-04-15 08:00:00"
83,76,"2018-04-15 18:00:00"
116,23,"2018-04-17 03:00:00"
67,21,"2018-04-15 02:00:00"
118,44,"2018-04-17 05:00:00"
66,21,"2018-04-15 01:00:00"
78,46,"2018-04-15 13:00:00"
96,44,"2018-04-16 07:00:00"
108,73,"2018-04-16 19:00:00"
105,58,"2018-04-16 16:00:00"
69,34,"2018-04-15 04:00:00"
95,39,"2018-04-16 06:00:00"
72,51,"2018-04-15 07:00:00"
115,21,"2018-04-17 02:00:00"
82,70,"2018-04-15 17:00:00"
77,42,"2018-04-15 12:00:00"
111,29,"2018-04-16 22:00:00"
86,37,"2018-04-15 21:00:00"
145,57,"2018-04-18 08:00:00"
89,20,"2018-04-16 00:00:00"
90,22,"2018-04-16 01:00:00"
144,62,"2018-04-18 07:00:00"
94,36,"2018-04-16 05:00:00"
123,43,"2018-04-17 10:00:00"
81,64,"2018-04-15 16:00:00"
113,29,"2018-04-17 00:00:00"
109,78,"2018-04-16 20:00:00"
133,62,"2018-04-17 20:00:00"
85,64,"2018-04-15 20:00:00"
106,63,"2018-04-16 17:00:00"
93,30,"2018-04-16 04:00:00"
119,47,"2018-04-17 06:00:00"
129,62,"2018-04-17 16:00:00"
114,20,"2018-04-17 01:00:00"
88,18,"2018-04-15 23:00:00"
101,45,"2018-04-16 12:00:00"
99,45,"2018-04-16 10:00:00"
100,45,"2018-04-16 11:00:00"
143,69,"2018-04-18 06:00:00"
137,22,"2018-04-18 00:00:00"
102,58,"2018-04-16 13:00:00"
140,40,"2018-04-18 03:00:00"
135,27,"2018-04-17 22:00:00"
112,30,"2018-04-16 23:00:00"
110,49,"2018-04-16 21:00:00"
122,40,"2018-04-17 09:00:00"
120,48,"2018-04-17 07:00:00"
138,36,"2018-04-18 01:00:00"
126,48,"2018-04-17 13:00:00"
136,29,"2018-04-17 23:00:00"
131,69,"2018-04-17 18:00:00"
127,53,"2018-04-17 14:00:00"
128,49,"2018-04-17 15:00:00"
132,70,"2018-04-17 19:00:00"
134,47,"2018-04-17 21:00:00"
139,36,"2018-04-18 02:00:00"
185,21,"2018-04-20 00:00:00"
201,41,"2018-04-20 16:00:00"
161,20,"2018-04-19 00:00:00"
156,82,"2018-04-18 19:00:00"
287,44,"2018-04-24 07:00:00"
177,54,"2018-04-19 16:00:00"
286,45,"2018-04-24 06:00:00"
174,38,"2018-04-19 13:00:00"
154,78,"2018-04-18 17:00:00"
164,22,"2018-04-19 03:00:00"
152,73,"2018-04-18 15:00:00"
232,52,"2018-04-21 23:00:00"
282,22,"2018-04-24 02:00:00"
254,29,"2018-04-22 22:00:00"
150,65,"2018-04-18 13:00:00"
169,48,"2018-04-19 08:00:00"
148,63,"2018-04-18 11:00:00"
225,55,"2018-04-21 16:00:00"
146,60,"2018-04-18 09:00:00"
256,22,"2018-04-23 00:00:00"
159,30,"2018-04-18 22:00:00"
223,50,"2018-04-21 14:00:00"
198,41,"2018-04-20 13:00:00"
180,63,"2018-04-19 19:00:00"
162,18,"2018-04-19 01:00:00"
192,43,"2018-04-20 07:00:00"
167,45,"2018-04-19 06:00:00"
195,42,"2018-04-20 10:00:00"
189,29,"2018-04-20 04:00:00"
157,77,"2018-04-18 20:00:00"
172,37,"2018-04-19 11:00:00"
183,50,"2018-04-19 22:00:00"
155,89,"2018-04-18 18:00:00"
153,70,"2018-04-18 16:00:00"
210,24,"2018-04-21 01:00:00"
175,41,"2018-04-19 14:00:00"
151,64,"2018-04-18 14:00:00"
186,24,"2018-04-20 01:00:00"
149,68,"2018-04-18 12:00:00"
165,30,"2018-04-19 04:00:00"
147,58,"2018-04-18 10:00:00"
205,52,"2018-04-20 20:00:00"
227,58,"2018-04-21 18:00:00"
160,25,"2018-04-18 23:00:00"
178,60,"2018-04-19 17:00:00"
170,44,"2018-04-19 09:00:00"
248,60,"2018-04-22 16:00:00"
163,18,"2018-04-19 02:00:00"
218,45,"2018-04-21 09:00:00"
258,26,"2018-04-23 02:00:00"
202,55,"2018-04-20 17:00:00"
215,49,"2018-04-21 06:00:00"
158,44,"2018-04-18 21:00:00"
235,24,"2018-04-22 02:00:00"
168,43,"2018-04-19 07:00:00"
211,25,"2018-04-21 02:00:00"
181,56,"2018-04-19 20:00:00"
229,46,"2018-04-21 20:00:00"
173,41,"2018-04-19 12:00:00"
166,36,"2018-04-19 05:00:00"
176,52,"2018-04-19 15:00:00"
274,81,"2018-04-23 18:00:00"
267,46,"2018-04-23 11:00:00"
199,43,"2018-04-20 14:00:00"
187,24,"2018-04-20 02:00:00"
184,27,"2018-04-19 23:00:00"
193,43,"2018-04-20 08:00:00"
171,37,"2018-04-19 10:00:00"
190,38,"2018-04-20 05:00:00"
221,54,"2018-04-21 12:00:00"
179,70,"2018-04-19 18:00:00"
196,47,"2018-04-20 11:00:00"
265,43,"2018-04-23 09:00:00"
206,42,"2018-04-20 21:00:00"
252,60,"2018-04-22 20:00:00"
249,70,"2018-04-22 17:00:00"
240,40,"2018-04-22 08:00:00"
182,43,"2018-04-19 21:00:00"
212,23,"2018-04-21 03:00:00"
203,54,"2018-04-20 18:00:00"
231,36,"2018-04-21 22:00:00"
