"id","cnt","ts"
179,27,"2018-04-12 04:55:00"
170,20,"2018-04-12 04:10:00"
238,31,"2018-04-12 09:50:00"
162,18,"2018-04-12 03:30:00"
154,13,"2018-04-12 02:50:00"
146,13,"2018-04-12 02:10:00"
206,34,"2018-04-12 07:10:00"
188,43,"2018-04-12 05:40:00"
197,42,"2018-04-12 06:25:00"
171,22,"2018-04-12 04:15:00"
147,16,"2018-04-12 02:15:00"
155,13,"2018-04-12 02:55:00"
163,16,"2018-04-12 03:35:00"
224,37,"2018-04-12 08:40:00"
180,27,"2018-04-12 05:00:00"
148,17,"2018-04-12 02:20:00"
244,32,"2018-04-12 10:20:00"
156,14,"2018-04-12 03:00:00"
172,23,"2018-04-12 04:20:00"
164,13,"2018-04-12 03:40:00"
189,43,"2018-04-12 05:45:00"
149,16,"2018-04-12 02:25:00"
216,30,"2018-04-12 08:00:00"
157,14,"2018-04-12 03:05:00"
181,33,"2018-04-12 05:05:00"
198,45,"2018-04-12 06:30:00"
150,15,"2018-04-12 02:30:00"
165,20,"2018-04-12 03:45:00"
173,24,"2018-04-12 04:25:00"
207,34,"2018-04-12 07:15:00"
158,14,"2018-04-12 03:10:00"
151,12,"2018-04-12 02:35:00"
190,34,"2018-04-12 05:50:00"
232,34,"2018-04-12 09:20:00"
166,22,"2018-04-12 03:50:00"
182,32,"2018-04-12 05:10:00"
159,17,"2018-04-12 03:15:00"
152,11,"2018-04-12 02:40:00"
174,25,"2018-04-12 04:30:00"
263,10,"2018-04-13 06:55:00"
225,37,"2018-04-12 08:45:00"
199,44,"2018-04-12 06:35:00"
153,11,"2018-04-12 02:45:00"
167,24,"2018-04-12 03:55:00"
160,18,"2018-04-12 03:20:00"
217,35,"2018-04-12 08:05:00"
175,30,"2018-04-12 04:35:00"
191,37,"2018-04-12 05:55:00"
183,34,"2018-04-12 05:15:00"
161,18,"2018-04-12 03:25:00"
168,23,"2018-04-12 04:00:00"
208,34,"2018-04-12 07:20:00"
255,33,"2018-04-12 11:15:00"
176,31,"2018-04-12 04:40:00"
239,29,"2018-04-12 09:55:00"
200,38,"2018-04-12 06:40:00"
169,20,"2018-04-12 04:05:00"
184,35,"2018-04-12 05:20:00"
192,36,"2018-04-12 06:00:00"
177,26,"2018-04-12 04:45:00"
250,38,"2018-04-12 10:50:00"
245,32,"2018-04-12 10:25:00"
218,33,"2018-04-12 08:10:00"
209,35,"2018-04-12 07:25:00"
185,36,"2018-04-12 05:25:00"
178,27,"2018-04-12 04:50:00"
233,30,"2018-04-12 09:25:00"
226,37,"2018-04-12 08:50:00"
193,36,"2018-04-12 06:05:00"
201,41,"2018-04-12 06:45:00"
186,39,"2018-04-12 05:30:00"
275,52,"2018-04-13 07:55:00"
299,46,"2018-04-13 09:55:00"
210,41,"2018-04-12 07:30:00"
194,42,"2018-04-12 06:10:00"
219,36,"2018-04-12 08:15:00"
202,40,"2018-04-12 06:50:00"
187,42,"2018-04-12 05:35:00"
283,57,"2018-04-13 08:35:00"
260,28,"2018-04-12 11:40:00"
240,30,"2018-04-12 10:00:00"
227,35,"2018-04-12 08:55:00"
195,39,"2018-04-12 06:15:00"
211,40,"2018-04-12 07:35:00"
203,34,"2018-04-12 06:55:00"
234,32,"2018-04-12 09:30:00"
220,39,"2018-04-12 08:20:00"
196,41,"2018-04-12 06:20:00"
270,47,"2018-04-13 07:30:00"
256,32,"2018-04-12 11:20:00"
251,35,"2018-04-12 10:55:00"
212,44,"2018-04-12 07:40:00"
204,34,"2018-04-12 07:00:00"
246,28,"2018-04-12 10:30:00"
228,29,"2018-04-12 09:00:00"
221,40,"2018-04-12 08:25:00"
213,44,"2018-04-12 07:45:00"
205,33,"2018-04-12 07:05:00"
267,53,"2018-04-13 07:15:00"
241,30,"2018-04-12 10:05:00"
235,33,"2018-04-12 09:35:00"
229,37,"2018-04-12 09:05:00"
222,37,"2018-04-12 08:30:00"
214,44,"2018-04-12 07:50:00"
264,35,"2018-04-13 07:00:00"
247,35,"2018-04-12 10:35:00"
236,33,"2018-04-12 09:40:00"
215,40,"2018-04-12 07:55:00"
252,33,"2018-04-12 11:00:00"
230,38,"2018-04-12 09:10:00"
223,30,"2018-04-12 08:35:00"
242,30,"2018-04-12 10:10:00"
273,51,"2018-04-13 07:45:00"
257,29,"2018-04-12 11:25:00"
261,26,"2018-04-12 11:45:00"
237,33,"2018-04-12 09:45:00"
231,38,"2018-04-12 09:15:00"
262,23,"2018-04-12 11:50:00"
248,36,"2018-04-12 10:40:00"
243,30,"2018-04-12 10:15:00"
253,31,"2018-04-12 11:05:00"
313,54,"2018-04-13 11:05:00"
278,56,"2018-04-13 08:10:00"
258,32,"2018-04-12 11:30:00"
268,53,"2018-04-13 07:20:00"
249,36,"2018-04-12 10:45:00"
265,47,"2018-04-13 07:05:00"
254,32,"2018-04-12 11:10:00"
271,49,"2018-04-13 07:35:00"
276,58,"2018-04-13 08:00:00"
280,56,"2018-04-13 08:20:00"
274,50,"2018-04-13 07:50:00"
266,53,"2018-04-13 07:10:00"
269,47,"2018-04-13 07:25:00"
282,61,"2018-04-13 08:30:00"
272,51,"2018-04-13 07:40:00"
308,44,"2018-04-13 10:40:00"
286,56,"2018-04-13 08:50:00"
285,55,"2018-04-13 08:45:00"
277,60,"2018-04-13 08:05:00"
279,54,"2018-04-13 08:15:00"
284,59,"2018-04-13 08:40:00"
300,46,"2018-04-13 10:00:00"
281,61,"2018-04-13 08:25:00"
312,54,"2018-04-13 11:00:00"
298,48,"2018-04-13 09:50:00"
423,35,"2018-04-13 20:15:00"
400,46,"2018-04-13 18:20:00"
287,56,"2018-04-13 08:55:00"
395,45,"2018-04-13 17:55:00"
359,42,"2018-04-13 14:55:00"
383,51,"2018-04-13 16:55:00"
326,38,"2018-04-13 12:10:00"
339,51,"2018-04-13 13:15:00"
301,47,"2018-04-13 10:05:00"
288,52,"2018-04-13 09:00:00"
314,54,"2018-04-13 11:10:00"
368,44,"2018-04-13 15:40:00"
350,54,"2018-04-13 14:10:00"
289,50,"2018-04-13 09:05:00"
327,38,"2018-04-13 12:15:00"
302,45,"2018-04-13 10:10:00"
315,52,"2018-04-13 11:15:00"
376,39,"2018-04-13 16:20:00"
290,49,"2018-04-13 09:10:00"
340,54,"2018-04-13 13:20:00"
303,47,"2018-04-13 10:15:00"
360,38,"2018-04-13 15:00:00"
291,49,"2018-04-13 09:15:00"
328,47,"2018-04-13 12:20:00"
316,52,"2018-04-13 11:20:00"
415,46,"2018-04-13 19:35:00"
304,49,"2018-04-13 10:20:00"
292,51,"2018-04-13 09:20:00"
351,56,"2018-04-13 14:15:00"
341,54,"2018-04-13 13:25:00"
390,46,"2018-04-13 17:30:00"
369,43,"2018-04-13 15:45:00"
317,48,"2018-04-13 11:25:00"
293,59,"2018-04-13 09:25:00"
329,49,"2018-04-13 12:25:00"
305,52,"2018-04-13 10:25:00"
361,31,"2018-04-13 15:05:00"
294,59,"2018-04-13 09:30:00"
412,46,"2018-04-13 19:20:00"
384,47,"2018-04-13 17:00:00"
318,41,"2018-04-13 11:30:00"
306,51,"2018-04-13 10:30:00"
342,56,"2018-04-13 13:30:00"
330,44,"2018-04-13 12:30:00"
295,55,"2018-04-13 09:35:00"
352,60,"2018-04-13 14:20:00"
377,43,"2018-04-13 16:25:00"
307,45,"2018-04-13 10:35:00"
296,53,"2018-04-13 09:40:00"
319,41,"2018-04-13 11:35:00"
418,53,"2018-04-13 19:50:00"
331,42,"2018-04-13 12:35:00"
362,31,"2018-04-13 15:10:00"
309,48,"2018-04-13 10:45:00"
297,49,"2018-04-13 09:45:00"
343,79,"2018-04-13 13:35:00"
320,40,"2018-04-13 11:40:00"
370,40,"2018-04-13 15:50:00"
353,58,"2018-04-13 14:25:00"
332,39,"2018-04-13 12:40:00"
310,54,"2018-04-13 10:50:00"
405,45,"2018-04-13 18:45:00"
321,38,"2018-04-13 11:45:00"
396,41,"2018-04-13 18:00:00"
391,56,"2018-04-13 17:35:00"
344,79,"2018-04-13 13:40:00"
311,55,"2018-04-13 10:55:00"
322,38,"2018-04-13 11:50:00"
333,38,"2018-04-13 12:45:00"
378,47,"2018-04-13 16:30:00"
363,32,"2018-04-13 15:15:00"
354,56,"2018-04-13 14:30:00"
323,33,"2018-04-13 11:55:00"
371,38,"2018-04-13 15:55:00"
334,39,"2018-04-13 12:50:00"
345,76,"2018-04-13 13:45:00"
385,47,"2018-04-13 17:05:00"
401,46,"2018-04-13 18:25:00"
324,38,"2018-04-13 12:00:00"
355,45,"2018-04-13 14:35:00"
335,45,"2018-04-13 12:55:00"
409,50,"2018-04-13 19:05:00"
364,45,"2018-04-13 15:20:00"
325,37,"2018-04-13 12:05:00"
346,76,"2018-04-13 13:50:00"
379,48,"2018-04-13 16:35:00"
336,46,"2018-04-13 13:00:00"
372,39,"2018-04-13 16:00:00"
421,44,"2018-04-13 20:05:00"
356,41,"2018-04-13 14:40:00"
347,57,"2018-04-13 13:55:00"
337,48,"2018-04-13 13:05:00"
397,41,"2018-04-13 18:05:00"
386,43,"2018-04-13 17:10:00"
365,47,"2018-04-13 15:25:00"
392,56,"2018-04-13 17:40:00"
338,51,"2018-04-13 13:10:00"
348,55,"2018-04-13 14:00:00"
357,44,"2018-04-13 14:45:00"
380,53,"2018-04-13 16:40:00"
