"id","cnt","ts"
1,6,"2018-06-15 10:40:00"
68,65,"2018-06-15 16:15:00"
12,62,"2018-06-15 11:35:00"
30,68,"2018-06-15 13:05:00"
7,84,"2018-06-15 11:10:00"
18,57,"2018-06-15 12:05:00"
2,31,"2018-06-15 10:45:00"
36,65,"2018-06-15 13:35:00"
24,72,"2018-06-15 12:35:00"
13,57,"2018-06-15 11:40:00"
55,64,"2018-06-15 15:10:00"
8,79,"2018-06-15 11:15:00"
3,58,"2018-06-15 10:50:00"
75,89,"2018-06-15 16:50:00"
49,55,"2018-06-15 14:40:00"
43,68,"2018-06-15 14:10:00"
19,58,"2018-06-15 12:10:00"
14,69,"2018-06-15 11:45:00"
4,81,"2018-06-15 10:55:00"
9,76,"2018-06-15 11:20:00"
31,69,"2018-06-15 13:10:00"
37,59,"2018-06-15 13:40:00"
5,83,"2018-06-15 11:00:00"
20,64,"2018-06-15 12:15:00"
15,80,"2018-06-15 11:50:00"
10,70,"2018-06-15 11:25:00"
6,83,"2018-06-15 11:05:00"
25,75,"2018-06-15 12:40:00"
142,60,"2018-06-15 22:25:00"
96,68,"2018-06-15 18:35:00"
62,63,"2018-06-15 15:45:00"
32,70,"2018-06-15 13:15:00"
11,65,"2018-06-15 11:30:00"
16,81,"2018-06-15 11:55:00"
26,81,"2018-06-15 12:45:00"
21,65,"2018-06-15 12:20:00"
112,71,"2018-06-15 19:55:00"
102,143,"2018-06-15 19:05:00"
38,67,"2018-06-15 13:45:00"
27,76,"2018-06-15 12:50:00"
17,70,"2018-06-15 12:00:00"
44,66,"2018-06-15 14:15:00"
22,59,"2018-06-15 12:25:00"
50,62,"2018-06-15 14:45:00"
56,58,"2018-06-15 15:15:00"
33,73,"2018-06-15 13:20:00"
28,73,"2018-06-15 12:55:00"
23,59,"2018-06-15 12:30:00"
69,64,"2018-06-15 16:20:00"
39,63,"2018-06-15 13:50:00"
90,75,"2018-06-15 18:05:00"
45,60,"2018-06-15 14:20:00"
34,69,"2018-06-15 13:25:00"
29,69,"2018-06-15 13:00:00"
76,78,"2018-06-15 16:55:00"
51,65,"2018-06-15 14:50:00"
63,59,"2018-06-15 15:50:00"
40,65,"2018-06-15 13:55:00"
57,53,"2018-06-15 15:20:00"
35,69,"2018-06-15 13:30:00"
83,55,"2018-06-15 17:30:00"
46,57,"2018-06-15 14:25:00"
41,65,"2018-06-15 14:00:00"
120,79,"2018-06-15 20:35:00"
52,66,"2018-06-15 14:55:00"
70,71,"2018-06-15 16:25:00"
64,63,"2018-06-15 15:55:00"
42,65,"2018-06-15 14:05:00"
47,59,"2018-06-15 14:30:00"
58,58,"2018-06-15 15:25:00"
139,64,"2018-06-15 22:10:00"
134,66,"2018-06-15 21:45:00"
53,66,"2018-06-15 15:00:00"
97,72,"2018-06-15 18:40:00"
77,77,"2018-06-15 17:00:00"
48,59,"2018-06-15 14:35:00"
71,72,"2018-06-15 16:30:00"
59,58,"2018-06-15 15:30:00"
65,69,"2018-06-15 16:00:00"
54,63,"2018-06-15 15:05:00"
132,64,"2018-06-15 21:35:00"
84,61,"2018-06-15 17:35:00"
91,81,"2018-06-15 18:10:00"
60,62,"2018-06-15 15:35:00"
108,70,"2018-06-15 19:35:00"
78,71,"2018-06-15 17:05:00"
72,88,"2018-06-15 16:35:00"
66,74,"2018-06-15 16:05:00"
103,146,"2018-06-15 19:10:00"
61,62,"2018-06-15 15:40:00"
124,70,"2018-06-15 20:55:00"
85,73,"2018-06-15 17:40:00"
113,74,"2018-06-15 20:00:00"
73,88,"2018-06-15 16:40:00"
67,71,"2018-06-15 16:10:00"
79,54,"2018-06-15 17:10:00"
98,70,"2018-06-15 18:45:00"
