"id","ts","min","max","avg","sum","cnt"
37,"2018-04-13 20:00:00",0,14339,24,25398,1038
23,"2018-04-13 06:00:00",0,0,0,0,34
16,"2018-04-12 05:00:00",0,908,3,13204,4052
5,"2018-04-11 18:00:00",0,19762,26,82051,3119
41,"2018-04-14 00:00:00",0,888,39,10540,268
10,"2018-04-11 23:00:00",0,1979,13,23424,1714
2,"2018-04-11 15:00:00",0,3482,9,20889,2200
65,"2018-04-15 00:00:00",0,907,57,11301,196
12,"2018-04-12 01:00:00",0,7183,31,66703,2107
51,"2018-04-14 10:00:00",0,9186,48,27932,575
43,"2018-04-14 02:00:00",0,4781,61,16352,265
24,"2018-04-13 07:00:00",0,187370,172,273580,1588
11,"2018-04-12 00:00:00",0,877,9,16050,1759
6,"2018-04-11 19:00:00",0,10780,7,27111,3593
17,"2018-04-12 06:00:00",0,895,3,15307,4510
3,"2018-04-11 16:00:00",0,1014,5,14938,2735
49,"2018-04-14 08:00:00",0,888,10,9941,961
71,"2018-04-15 06:00:00",0,907,16,12184,757
13,"2018-04-12 02:00:00",0,1747,11,19735,1717
79,"2018-04-15 14:00:00",0,864,8,10322,1225
75,"2018-04-15 10:00:00",0,859,3,9613,2901
7,"2018-04-11 20:00:00",0,858,5,11966,2102
25,"2018-04-13 08:00:00",0,2452,9,16931,1793
8,"2018-04-11 21:00:00",0,869,16,21334,1303
4,"2018-04-11 17:00:00",0,4714,5,19772,3427
1,"2018-04-11 14:00:00",0,871,5,9695,1751
66,"2018-04-15 01:00:00",0,1241,51,10154,198
47,"2018-04-14 06:00:00",0,1938,17,13983,808
18,"2018-04-12 07:00:00",0,864,3,9864,2985
59,"2018-04-14 18:00:00",0,2089,8,11718,1458
14,"2018-04-12 03:00:00",0,855,9,17706,1892
26,"2018-04-13 09:00:00",0,15253,24,35987,1492
63,"2018-04-14 22:00:00",0,5448,45,18218,403
9,"2018-04-11 22:00:00",0,8640,17,38320,2162
61,"2018-04-14 20:00:00",0,5004,11,14335,1251
55,"2018-04-14 14:00:00",0,7060,21,19024,893
19,"2018-04-12 08:00:00",0,875,6,16724,2397
