"id","ts","min","max","avg","sum","cnt"
37,"2018-04-13 20:00:00",327,114531,4884,5070292,1038
23,"2018-04-13 06:00:00",327,6414,4366,148476,34
16,"2018-04-12 05:00:00",321,114214,4169,16894012,4052
5,"2018-04-11 18:00:00",327,114214,4621,14414209,3119
41,"2018-04-14 00:00:00",327,114531,8020,2149389,268
10,"2018-04-11 23:00:00",327,361205,5853,10033370,1714
2,"2018-04-11 15:00:00",327,578430,4477,9850259,2200
65,"2018-04-15 00:00:00",327,114531,10414,2041283,196
12,"2018-04-12 01:00:00",327,114214,5231,11022188,2107
51,"2018-04-14 10:00:00",327,143017,5671,3261209,575
43,"2018-04-14 02:00:00",327,114531,8520,2258064,265
24,"2018-04-13 07:00:00",327,747462,5304,8423901,1588
11,"2018-04-12 00:00:00",327,114214,4636,8156138,1759
6,"2018-04-11 19:00:00",327,114214,3898,14006240,3593
17,"2018-04-12 06:00:00",322,114214,4110,18536356,4510
3,"2018-04-11 16:00:00",327,114214,4389,12004422,2735
49,"2018-04-14 08:00:00",327,114531,5073,4875819,961
71,"2018-04-15 06:00:00",327,114531,4974,3765456,757
13,"2018-04-12 02:00:00",327,747202,5907,10142377,1717
79,"2018-04-15 14:00:00",327,114531,4645,5690434,1225
75,"2018-04-15 10:00:00",291,114531,2285,6630990,2901
7,"2018-04-11 20:00:00",327,114214,4078,8573595,2102
25,"2018-04-13 08:00:00",327,747222,5544,9941934,1793
8,"2018-04-11 21:00:00",327,114214,5208,6786148,1303
4,"2018-04-11 17:00:00",327,747192,3812,13066114,3427
1,"2018-04-11 14:00:00",327,114214,3708,6493177,1751
66,"2018-04-15 01:00:00",327,114531,8615,1705816,198
47,"2018-04-14 06:00:00",327,114531,4783,3865332,808
18,"2018-04-12 07:00:00",327,114214,3325,9927521,2985
59,"2018-04-14 18:00:00",327,114531,4049,5904054,1458
14,"2018-04-12 03:00:00",221,114214,4900,9272094,1892
26,"2018-04-13 09:00:00",327,114546,5273,7867692,1492
63,"2018-04-14 22:00:00",327,114531,5911,2382429,403
9,"2018-04-11 22:00:00",327,134340,5314,11489842,2162
61,"2018-04-14 20:00:00",327,114531,3265,4085089,1251
55,"2018-04-14 14:00:00",327,578535,5709,5098675,893
19,"2018-04-12 08:00:00",327,114214,3895,9338233,2397
54,"2018-04-14 13:00:00",327,114531,4742,3571187,753
15,"2018-04-12 04:00:00",327,114214,4323,11794539,2728
42,"2018-04-14 01:00:00",327,578613,10660,3837863,360
27,"2018-04-13 10:00:00",327,578719,5610,11214509,1999
40,"2018-04-13 23:00:00",327,114531,6832,2145372,314
22,"2018-04-12 11:00:00",327,114214,4773,5780738,1211
28,"2018-04-13 11:00:00",327,121803,6397,9013380,1409
20,"2018-04-12 09:00:00",327,114214,3625,7863056,2169
56,"2018-04-14 15:00:00",327,155907,4866,3489417,717
53,"2018-04-14 12:00:00",327,114531,5451,5375631,986
29,"2018-04-13 12:00:00",327,114531,6288,5590785,889
21,"2018-04-12 10:00:00",327,114214,3979,6745834,1695
50,"2018-04-14 09:00:00",291,578462,3329,3522631,1058
